model,nlu_rank,nlg_rank,parameters,vocabulary_size,context,speed,commercial,merge,dutch_social_primary,dutch_social_secondary,conll_nl_primary,conll_nl_secondary,scala_nl_primary,scala_nl_secondary,squad_nl_primary,squad_nl_secondary,wiki_lingua_nl_primary,wiki_lingua_nl_secondary,mmlu_nl_primary,mmlu_nl_secondary,hellaswag_nl_primary,hellaswag_nl_secondary,dutch_social_version,conll_nl_version,scala_nl_version,squad_nl_version,wiki_lingua_nl_version,mmlu_nl_version,hellaswag_nl_version,speed_version
FacebookAI/xlm-roberta-large,2.18,999.0,561.0,250.0,512,17896.69,True,False,8.82,30.82,83.49,86.12,64.8,80.93,61.66,50.72,,,,,,,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,12.7.0
google/gemma-2-27b-it (few-shot),2.19,1.95,27227.0,256.0,8448,1516.14,True,False,14.8,36.86,65.2,53.16,59.02,79.44,74.99,59.6,64.03,20.76,59.71,69.7,70.7,77.81,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0
"gpt-4o-2024-05-13 (zero-shot, val)",2.21,1.59,,200.0,8191,636.59,True,False,12.36,19.95,69.12,41.51,58.88,79.01,70.93,45.88,64.37,13.15,70.81,78.12,84.34,88.2,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3
DTAI-KULeuven/robbertje-1-gb-shuffled,2.24,999.0,74.0,40.0,512,20615.67,True,False,26.02,42.9,73.55,80.69,57.03,77.24,12.04,6.64,,,,,,,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0
"gpt-4o-mini-2024-07-18 (zero-shot, val)",2.25,2.15,,200.0,8191,908.12,True,False,12.67,18.63,64.15,38.77,62.44,80.58,70.43,45.65,64.26,13.64,56.45,67.46,62.09,71.09,14.0.1,14.0.1,14.0.1,14.0.1,14.0.1,14.0.3,14.0.3,14.0.3
jhu-clsp/bernice,2.26,999.0,279.0,250.0,128,5566.94,True,False,22.58,41.55,78.74,84.14,55.39,76.38,7.23,5.95,,,,,,,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0
microsoft/mdeberta-v3-base,2.28,999.0,278.0,251.0,512,20637.23,True,False,5.16,27.85,84.47,87.98,71.23,85.45,57.8,46.43,,,,,,,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,12.7.0
"gpt-4-1106-preview (zero-shot, val)",2.33,1.86,,100.0,8191,436.04,True,False,11.13,18.38,55.72,40.53,67.28,83.06,72.73,54.2,64.09,12.91,67.45,75.66,72.71,79.49,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3
google/rembert,2.33,999.0,575.0,250.0,512,11735.9,True,False,4.79,27.49,75.49,81.37,66.47,83.16,68.38,55.7,,,,,,,12.6.1,12.6.1,12.6.1,12.6.1,0.0.0,0.0.0,0.0.0,12.7.0
"gpt-3.5-turbo-0613 (few-shot, val)",2.36,2.23,,100.0,4095,920.94,True,False,8.81,30.88,68.96,58.45,58.95,78.64,68.26,55.57,69.13,21.32,42.28,56.45,61.52,70.62,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,12.5.3
Nexusflow/Starling-LM-7B-beta (few-shot),2.36,2.41,7242.0,32.0,8192,1972.18,False,False,13.83,41.53,64.47,40.89,45.69,72.13,73.17,58.03,69.34,22.22,37.6,53.13,54.33,65.41,12.5.2,12.5.2,12.5.2,12.5.2,12.5.2,12.5.2,12.5.2,14.0.3
meta-llama/Llama-3.1-8B-Instruct (few-shot),2.36,2.51,8030.0,128.0,131328,1042.12,True,False,15.51,39.71,69.76,57.66,37.58,66.98,65.63,41.26,68.84,21.41,40.98,55.51,39.98,54.32,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,14.0.2
google/gemma-2-9b-it (few-shot),2.37,2.05,9242.0,256.0,8448,2062.05,True,False,11.78,32.8,52.62,39.41,59.23,79.42,72.71,55.78,67.39,20.04,53.99,65.31,65.58,73.75,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0
cardiffnlp/twitter-xlm-roberta-base,2.4,999.0,277.0,250.0,512,34475.2,True,False,18.78,37.09,77.15,81.92,56.72,77.53,20.91,14.61,,,,,,,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,12.7.0
upstage/SOLAR-10.7B-v1.0 (few-shot),2.41,2.19,10732.0,32.0,4096,3780.42,True,False,11.93,34.67,65.37,46.1,41.67,69.81,78.01,67.75,68.83,26.12,40.18,55.06,65.34,73.48,12.5.3,12.5.3,12.5.3,12.5.3,12.5.3,12.5.3,12.5.3,12.5.3
mistralai/Ministral-8B-Instruct-2410 (few-shot),2.42,2.25,8020.0,131.0,32768,929.75,True,False,13.55,37.36,66.51,52.4,34.46,65.61,72.56,59.23,68.87,21.06,40.81,55.44,60.68,70.24,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,14.0.1
sentence-transformers/paraphrase-xlm-r-multilingual-v1,2.46,999.0,277.0,250.0,512,20154.46,True,False,21.37,40.62,70.59,78.25,45.86,71.32,10.4,5.2,,,,,,,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,12.8.0
"meta-llama/Llama-2-70b-hf (few-shot, val)",2.46,2.29,68977.0,32.0,4349,1891.65,True,False,7.82,34.91,66.5,57.66,49.55,73.43,77.36,65.26,67.28,21.33,49.41,61.91,54.5,65.7,12.7.0,12.7.0,12.7.0,12.7.0,12.7.0,12.7.0,12.7.0,12.7.0
google/gemma-2-9b (few-shot),2.47,2.21,9242.0,256.0,8448,2037.53,True,False,17.43,40.83,57.13,36.21,31.39,56.7,73.56,59.33,66.59,21.08,53.71,65.15,53.26,63.65,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0
mistralai/Mistral-Nemo-Instruct-2407 (few-shot),2.48,2.41,12248.0,131.0,1024256,7094.98,True,False,10.1,33.62,66.57,48.4,40.31,69.53,74.24,59.99,68.66,20.75,42.5,56.53,48.51,60.59,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0
meta-llama/Meta-Llama-3-8B-Instruct (few-shot),2.49,2.76,8030.0,128.0,8192,1040.29,True,False,14.67,41.36,68.72,54.89,32.91,64.93,67.5,45.36,67.62,18.19,36.18,51.68,33.91,48.01,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1,14.0.2
ibm-granite/granite-3.0-8b-base (few-shot),2.54,2.47,8171.0,49.0,4096,5116.13,True,False,13.72,39.38,53.21,42.13,40.85,67.34,74.19,62.41,66.7,19.34,39.74,54.61,54.37,65.48,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0
meta-llama/Llama-3.1-8B (few-shot),2.54,2.83,8030.0,128.0,131328,2363.74,True,False,11.95,37.12,64.79,45.48,32.97,58.52,74.73,63.89,66.29,20.14,38.44,53.68,30.88,47.18,12.11.0,12.11.0,12.11.0,13.0.0,13.0.0,13.0.0,13.0.0,14.0.1
"meta-llama/Llama-2-70b-chat-hf (few-shot, val)",2.57,2.41,68977.0,32.0,4096,1979.03,True,False,13.3,30.5,64.0,48.94,30.88,59.62,70.96,54.14,68.71,19.82,45.47,59.14,42.91,57.3,12.7.0,12.7.0,12.7.0,12.7.0,12.7.0,12.7.0,12.7.0,12.7.0
"claude-3-5-haiku-20241022 (zero-shot, val)",2.58,3.73,,,200000,276.86,True,False,12.71,30.22,61.15,43.6,35.26,59.55,68.96,41.27,64.93,13.88,8.55,28.32,10.69,31.29,14.0.2,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.1
DTAI-KULeuven/robbertje-1-gb-bort,2.59,999.0,45.0,40.0,512,31086.98,True,False,24.93,41.47,66.74,75.07,37.19,66.68,10.67,5.23,,,,,,,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0
senseable/WestLake-7B-v2 (few-shot),2.61,2.52,7242.0,32.0,32768,5992.97,False,False,13.66,39.45,64.25,46.52,28.59,61.24,68.04,49.64,68.66,19.51,35.37,51.43,47.5,60.41,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1
yhavinga/Boreas-7B-chat (few-shot),2.65,2.81,7242.0,32.0,32768,2912.59,False,False,11.97,35.17,60.22,38.72,30.94,62.66,67.52,52.19,66.6,20.0,35.34,51.45,31.47,47.64,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1
CohereForAI/aya-expanse-8b (few-shot),2.66,1.91,8028.0,256.0,8192,5581.05,False,False,11.09,31.37,62.07,37.68,35.14,66.66,68.82,49.15,74.4,31.66,46.76,60.01,60.36,70.23,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0
meta-llama/Meta-Llama-3-8B (few-shot),2.66,2.96,8030.0,128.0,8192,1046.19,True,False,10.45,33.45,62.26,42.41,30.3,62.28,73.73,62.99,65.17,18.63,36.38,52.08,28.33,45.29,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1,14.0.2
robinsmits/Qwen1.5-7B-Dutch-Chat-Sft-Bf16 (few-shot),2.7,3.01,7719.0,152.0,32768,2413.24,False,False,14.79,41.48,56.83,46.81,23.58,50.85,70.07,55.9,65.06,18.45,33.73,50.05,29.29,45.9,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1
utter-project/EuroLLM-9B-Instruct (few-shot),2.7,2.57,9152.0,128.0,4096,5762.51,False,False,11.95,33.4,43.06,30.5,40.85,68.94,74.62,63.42,69.33,23.01,41.9,56.09,36.69,50.85,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0
robinsmits/Qwen1.5-7B-Dutch-Chat (few-shot),2.7,3.13,7719.0,152.0,32768,4685.65,False,False,14.62,41.08,57.81,47.15,25.34,54.46,70.49,56.81,60.51,15.62,34.78,50.83,30.29,46.74,12.5.3,12.5.3,12.5.3,12.5.3,12.5.3,12.5.3,12.5.3,12.5.3
"mlabonne/NeuralBeagle14-7B (few-shot, val)",2.71,2.35,7242.0,32.0,8192,2549.38,False,True,11.25,39.0,63.53,50.43,27.76,62.44,70.12,50.94,71.2,23.47,40.23,54.77,47.87,60.78,9.3.2,9.3.2,9.3.2,12.5.2,9.3.2,9.3.2,9.3.2,9.3.2
skole-gpt-mixtral (few-shot),2.72,2.58,,32.0,32768,3582.66,False,False,8.92,24.28,62.16,45.76,32.76,65.17,72.57,56.87,68.39,20.83,46.17,59.57,33.31,49.12,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0
CohereForAI/aya-23-8B (few-shot),2.76,2.33,8028.0,256.0,8192,5607.73,False,False,7.9,24.82,60.81,46.59,31.12,64.29,74.6,63.0,72.9,30.63,32.37,48.63,53.32,64.3,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0
sentence-transformers/quora-distilbert-multilingual,2.78,999.0,135.0,120.0,512,26458.45,True,False,23.25,44.88,67.89,74.48,21.36,59.5,9.94,4.5,,,,,,,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0
"mlabonne/AlphaMonarch-7B (few-shot, val)",2.78,2.5,7242.0,32.0,8192,5340.04,False,True,11.14,38.64,64.71,53.58,25.22,61.28,66.56,46.34,67.71,17.76,38.49,53.52,47.66,60.31,12.5.2,12.5.2,12.5.2,12.5.2,12.5.2,12.5.2,12.5.2,12.5.2
microsoft/xlm-align-base,2.79,999.0,277.0,250.0,512,14744.17,True,False,11.8,33.49,78.85,83.35,14.56,53.64,51.94,42.08,,,,,,,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0
ibm-granite/granite-3.0-8b-instruct (few-shot),2.79,3.07,8171.0,49.0,4096,5090.05,True,False,13.37,36.94,53.62,40.51,23.47,60.17,72.98,61.2,62.34,18.49,34.69,50.59,31.36,46.78,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0
ReBatch/Reynaerde-7B-Instruct (few-shot),2.84,2.88,7248.0,33.0,32768,2561.7,False,False,10.39,28.74,59.16,42.33,19.5,55.52,72.79,60.96,68.19,20.85,32.93,49.37,28.04,45.48,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0
ReBatch/Llama-3-8B-dutch (few-shot),2.85,2.99,8030.0,128.0,8445,3799.86,False,False,11.07,34.77,60.14,44.91,15.67,40.14,71.2,59.93,64.49,18.4,36.13,51.76,28.25,44.23,12.7.0,12.7.0,12.7.0,12.7.0,12.7.0,12.7.0,12.7.0,12.7.0
mistralai/Mistral-7B-Instruct-v0.2 (few-shot),2.86,3.09,7242.0,32.0,32768,2370.41,False,False,12.37,37.37,55.56,39.56,21.5,59.1,66.54,50.77,67.99,19.54,22.86,41.71,24.8,42.93,9.2.0,9.3.1,9.3.1,12.4.0,12.4.0,9.3.2,9.3.2,14.0.3
Rijgersberg/Mistral-7B-v0.1-chat-nl (few-shot),2.86,3.1,7242.0,32.0,32768,5907.39,False,False,11.08,32.2,56.73,38.97,19.41,57.17,71.22,58.91,68.05,21.26,31.39,48.09,16.49,36.67,12.5.2,12.5.2,12.5.2,12.5.2,12.5.2,12.5.2,12.5.2,12.5.2
ibm-granite/granite-8b-code-base-4k (few-shot),2.86,3.73,8055.0,49.0,4096,2312.61,True,False,13.81,36.99,63.29,52.18,8.16,44.29,66.29,56.64,63.08,15.69,16.86,37.54,6.24,29.25,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0
mistralai/Mistral-7B-v0.1 (few-shot),2.86,3.13,7242.0,32.0,32768,1445.59,True,False,7.94,31.02,58.15,40.78,25.41,61.11,73.16,62.56,64.24,17.54,35.49,51.51,19.88,39.13,9.1.2,9.1.2,9.1.2,12.5.1,11.0.0,9.2.0,9.2.0,14.0.3
ReBatch/Reynaerde-7B-Chat (few-shot),2.87,2.87,7248.0,33.0,32768,2553.94,False,False,11.22,30.99,56.22,38.04,20.04,55.38,72.89,61.15,68.28,20.97,32.44,49.05,31.24,47.72,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0
sentence-transformers/stsb-xlm-r-multilingual,2.88,999.0,278.0,250.0,512,15039.9,True,False,20.56,39.67,66.85,72.84,35.56,66.0,10.13,5.04,,,,,,,12.6.1,12.6.1,12.6.1,12.6.1,0.0.0,0.0.0,0.0.0,0.0.0
ibm-granite/granite-3.0-2b-instruct (few-shot),2.88,3.31,2634.0,49.0,4352,10193.87,True,False,13.85,36.43,52.52,44.69,17.72,57.31,67.02,53.5,66.23,18.18,24.62,43.32,15.79,35.56,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0
alpindale/Mistral-7B-v0.2-hf (few-shot),2.9,3.12,7242.0,32.0,32768,1841.12,True,False,7.11,26.36,56.76,42.03,23.55,59.14,72.41,61.89,64.33,17.66,34.92,51.02,23.87,42.03,12.5.2,12.5.2,12.5.2,12.5.2,12.5.2,12.5.2,12.5.2,12.5.2
mistralai/Mistral-7B-v0.3 (few-shot),2.93,3.1,7248.0,33.0,32768,1364.05,True,False,7.02,26.4,56.52,41.84,23.41,59.14,72.49,61.9,64.37,17.69,34.93,51.02,23.73,41.93,12.10.4,12.10.4,12.10.4,12.10.5,12.10.5,12.10.4,12.10.4,14.0.3
Geotrend/distilbert-base-25lang-cased,2.93,999.0,109.0,85.0,512,26098.8,True,False,7.45,29.7,75.02,81.57,45.28,71.89,27.86,20.18,,,,,,,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0
ibm-granite/granite-8b-code-instruct-4k (few-shot),2.96,3.8,8055.0,49.0,4096,5616.81,True,False,12.38,29.91,60.72,45.52,10.96,47.97,61.75,51.2,63.23,16.22,15.26,35.76,4.03,27.17,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0
ibm-granite/granite-3.0-2b-base (few-shot),3.0,3.12,2534.0,49.0,4352,10186.88,True,False,12.12,35.44,47.28,36.12,12.74,52.69,71.2,60.36,64.26,16.55,26.88,44.76,34.05,50.08,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0
google/gemma-7b (few-shot),3.0,2.75,8538.0,256.0,8320,1377.83,True,False,7.68,26.25,47.75,35.64,28.28,62.81,73.19,61.49,65.6,19.95,42.19,55.52,31.45,44.15,12.9.1,12.9.1,12.9.1,12.9.1,12.9.1,12.9.1,12.10.0,12.10.0
google/gemma-7b-it (few-shot),3.01,3.42,8538.0,256.0,8445,1792.03,False,False,12.83,34.0,53.93,47.48,6.58,48.51,67.47,53.45,65.89,17.99,19.58,38.76,13.68,32.3,12.10.0,12.10.0,12.10.0,12.10.0,12.10.0,12.10.0,12.10.0,12.7.0
meta-llama/Llama-2-13b-chat-hf (few-shot),3.01,3.2,13016.0,32.0,4320,2849.49,True,False,8.57,29.84,57.8,39.43,17.4,57.26,69.69,56.35,66.11,18.31,27.15,44.95,19.18,38.84,12.10.4,12.11.0,12.10.4,12.11.0,12.11.0,12.10.4,12.10.4,12.10.4
microsoft/Phi-3-mini-4k-instruct (few-shot),3.01,3.25,3821.0,32.0,4096,5224.17,True,False,12.58,36.56,50.31,41.54,14.72,50.23,66.72,56.19,64.4,17.47,28.31,46.18,21.25,40.78,12.10.5,12.10.5,12.10.5,12.10.5,12.10.5,12.10.5,12.10.5,12.10.5
RuterNorway/Llama-2-13b-chat-norwegian (few-shot),3.02,3.24,,32.0,4096,3254.47,False,False,8.41,25.59,57.66,43.77,16.93,55.72,68.94,56.29,66.22,19.03,25.7,44.15,17.92,37.64,9.3.1,9.3.1,9.3.1,9.3.1,9.3.1,9.3.1,9.3.1,12.9.0
occiglot/occiglot-7b-eu5-instruct (few-shot),3.03,3.24,7242.0,32.0,32768,2087.8,False,False,7.78,24.33,53.78,41.29,16.23,55.09,73.88,63.09,66.46,19.49,28.37,45.81,15.25,35.83,12.2.0,12.5.2,12.3.1,12.4.0,12.4.0,12.3.1,12.3.1,12.3.1
BramVanroy/GEITje-7B-ultra (few-shot),3.05,3.05,7242.0,32.0,8192,2475.48,False,False,12.78,42.17,42.2,27.85,18.23,50.04,66.45,53.41,68.3,20.79,26.92,44.44,25.72,43.74,10.0.1,10.0.1,10.0.1,12.4.0,12.4.0,10.0.1,10.0.1,10.0.1
Rijgersberg/GEITje-7B-chat-v2 (few-shot),3.05,3.25,7242.0,32.0,32768,5907.62,False,False,11.06,40.32,42.12,31.12,19.71,49.65,70.06,59.19,65.55,19.18,27.71,45.01,18.03,36.82,12.5.2,12.5.2,12.5.2,12.5.2,12.5.2,12.5.2,12.5.2,12.5.2
meta-llama/Llama-2-13b-hf (few-shot),3.05,3.28,13016.0,32.0,4224,2898.43,True,False,4.26,28.32,52.55,43.32,24.57,54.94,72.74,60.99,64.02,16.97,28.73,45.62,19.43,38.57,12.10.4,12.10.5,12.10.4,12.10.5,12.10.5,12.10.4,12.10.4,12.10.4
meta-llama/Llama-3.2-3B-Instruct (few-shot),3.06,3.01,3213.0,128.0,131328,10423.76,False,False,12.87,37.23,43.66,40.23,17.94,55.88,64.44,47.77,66.74,18.33,33.8,50.3,21.02,40.27,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0
meta-llama/Llama-2-7b-chat-hf (few-shot),3.09,3.35,6738.0,32.0,4096,2643.05,False,False,10.07,35.66,50.23,37.12,14.73,54.59,66.24,53.42,67.59,18.45,20.19,39.24,11.42,32.5,9.3.1,9.3.1,9.3.1,12.4.0,12.4.0,9.3.1,9.3.1,9.3.1
Rijgersberg/GEITje-7B (few-shot),3.09,3.19,7242.0,32.0,32768,5886.57,True,False,4.36,28.11,47.53,32.42,30.67,63.78,67.56,56.55,67.58,22.14,28.12,44.5,11.7,32.05,9.3.1,9.3.1,9.3.1,9.3.1,9.3.1,9.3.1,9.3.1,12.10.0
EuropeanParliament/EUBERT,3.1,999.0,94.0,66.0,512,20070.41,True,False,14.86,35.33,49.54,50.44,27.9,62.47,29.4,20.65,,,,,,,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0
Twitter/twhin-bert-large,3.1,999.0,562.0,250.0,512,9706.97,True,False,6.55,28.68,77.35,82.5,18.25,54.0,36.84,28.37,,,,,,,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,12.7.0
microsoft/Phi-3-mini-128k-instruct (few-shot),3.11,3.27,3821.0,32.0,131072,7311.73,True,False,12.84,36.64,44.27,34.47,10.44,48.93,68.02,56.4,62.6,15.63,28.63,46.39,22.58,41.78,12.9.1,12.9.1,12.9.1,12.9.1,12.10.0,12.10.0,12.10.0,12.10.0
Twitter/twhin-bert-base,3.11,999.0,279.0,250.0,512,11513.72,True,False,9.53,32.06,74.03,80.59,39.12,68.36,12.9,7.71,,,,,,,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0
