model,rank,parameters,vocabulary_size,context,speed,commercial,merge,fosent,fone,scala_fo,foqa,fosent_version,fone_version,scala_fo_version,foqa_version
microsoft/mdeberta-v3-base,2.75,278809344.0,251000.0,512,7688.88,✓,✗,6.70 ± 4.85 / 25.36 ± 7.25@@6.7035803310042565,88.60 ± 0.60 / 89.37 ± 0.54@@88.59550355611218,46.81 ± 2.12 / 72.76 ± 1.40@@46.813134184203804,30.59 ± 1.61 / 20.96 ± 1.19@@30.58821733982104,13.3.0@@130300,<9.2.0@@0,<9.2.0@@0,13.0.0@@130000
sentence-transformers/use-cmlm-multilingual,2.77,472022179.0,501153.0,512,47285.05,✓,✗,15.45 ± 3.96 / 40.77 ± 4.75@@15.445256183375431,88.81 ± 0.65 / 89.12 ± 0.56@@88.80515375017481,30.92 ± 8.65 / 63.05 ± 4.66@@30.91594036512116,37.21 ± 3.83 / 25.48 ± 2.79@@37.21297893247409,13.3.0@@130300,<9.2.0@@0,<9.2.0@@0,13.0.0@@130000
"claude-3-5-sonnet-20241022 (zero-shot, val)",2.83,,,200000,168.2,✓,✗,8.17 ± 5.22 / 27.16 ± 4.39@@8.167448933851158,72.52 ± 0.65 / 60.99 ± 0.78@@72.5162463199293,32.38 ± 4.28 / 56.38 ± 2.60@@32.38463068116057,69.24 ± 1.30 / 45.34 ± 1.90@@69.23553507607052,14.0.3@@140003,14.0.3@@140003,14.0.3@@140003,14.0.3@@140003
"gpt-4o-mini-2024-07-18 (zero-shot, val)",2.86,,200019.0,8191,862.54,✓,✗,35.05 ± 3.84 / 34.41 ± 2.93@@35.04664213292622,53.92 ± 1.55 / 28.59 ± 1.28@@53.92285931714955,23.12 ± 4.18 / 60.20 ± 2.01@@23.124843222298026,76.60 ± 1.29 / 54.99 ± 2.45@@76.59608673410222,14.0.1@@140001,14.0.1@@140001,14.0.1@@140001,14.0.1@@140001
"gpt-4o-mini-2024-07-18 (few-shot, val)",2.86,,200019.0,8191,784.26,✓,✗,39.45 ± 8.53 / 62.38 ± 6.69@@39.4541074686478,73.80 ± 2.44 / 63.06 ± 3.84@@73.79853210925201,34.78 ± 4.81 / 63.14 ± 2.83@@34.775704541104226,19.37 ± 1.52 / 0.87 ± 1.17@@19.367652149638644,14.0.0@@140000,14.0.0@@140000,14.0.0@@140000,14.0.0@@140000
setu4993/LaBSE,3.02,470927360.0,501153.0,512,14378.88,✓,✗,21.57 ± 4.96 / 45.40 ± 4.23@@21.569189457116657,89.16 ± 0.66 / 89.62 ± 0.62@@89.15779605599909,22.76 ± 10.57 / 60.04 ± 5.76@@22.76415199818776,41.85 ± 1.13 / 30.55 ± 1.05@@41.850903700529656,13.3.0@@130300,<9.2.0@@0,<9.2.0@@0,13.0.0@@130000
meta-llama/Meta-Llama-3-8B-Instruct (few-shot),3.04,8030261248.0,128256.0,8192,1483.24,✓,✗,45.78 ± 2.05 / 47.72 ± 1.15@@45.77873022028658,70.61 ± 1.12 / 68.27 ± 1.76@@70.60840790820745,4.58 ± 2.43 / 36.78 ± 1.86@@4.582087660409739,72.73 ± 1.11 / 50.67 ± 1.56@@72.72990560203031,14.0.4@@140004,14.0.4@@140004,14.0.4@@140004,14.0.4@@140004
meta-llama/Llama-3.1-8B-Instruct (few-shot),3.04,8030261248.0,128256.0,131072,1478.39,✓,✗,48.54 ± 2.43 / 49.17 ± 1.48@@48.54034378123171,67.67 ± 1.31 / 59.86 ± 2.12@@67.66672801485292,3.89 ± 2.71 / 36.33 ± 1.50@@3.887546713597522,69.50 ± 1.68 / 47.07 ± 2.63@@69.50121259113794,14.0.4@@140004,14.0.4@@140004,14.0.4@@140004,14.0.4@@140004
mistralai/Mixtral-8x7B-v0.1 (few-shot),3.06,46702792704.0,32000.0,32768,2362.92,✓,✗,45.19 ± 3.93 / 59.61 ± 3.28@@45.189948308833046,67.97 ± 1.73 / 65.91 ± 2.05@@67.9683507819475,5.21 ± 3.44 / 47.34 ± 4.27@@5.208204387279877,67.77 ± 2.03 / 50.21 ± 2.31@@67.76561560414392,14.0.4@@140004,14.0.4@@140004,14.0.4@@140004,14.3.0@@140300
"gpt-4-1106-preview (zero-shot, val)",3.11,,100256.0,8191,589.23,✓,✗,13.18 ± 5.13 / 19.41 ± 3.41@@13.180883852710174,57.52 ± 2.17 / 36.36 ± 1.53@@57.5244439960384,28.03 ± 3.90 / 62.26 ± 2.03@@28.030163213041416,76.65 ± 1.98 / 59.06 ± 2.40@@76.64612714811636,14.0.3@@140003,14.0.3@@140003,14.0.3@@140003,14.0.3@@140003
nvidia/mistral-nemo-minitron-8b-base (few-shot),3.16,8414105600.0,131072.0,8192,1203.56,✓,✗,39.48 ± 3.86 / 56.83 ± 3.61@@39.4757696505334,66.18 ± 1.87 / 62.76 ± 2.46@@66.17908796170914,5.78 ± 1.69 / 47.83 ± 3.37@@5.778037216699525,69.30 ± 1.70 / 51.04 ± 1.82@@69.30300695987677,14.1.1@@140101,14.1.1@@140101,14.1.1@@140101,14.3.0@@140300
mgoin/Nemotron-4-340B-Instruct-hf-FP8 (few-shot),3.16,341029195776.0,256000.0,4096,1904.18,✓,✗,51.62 ± 10.21 / 62.71 ± 10.54@@51.62468879727863,55.31 ± 9.55 / 44.19 ± 6.59@@55.30791989765505,15.07 ± 1.77 / 54.46 ± 2.11@@15.073985764687798,36.19 ± 4.86 / 18.22 ± 3.26@@36.18711796462296,14.0.4@@140004,14.0.4@@140004,14.0.4@@140004,14.0.4@@140004
pere/roberta-base-exp-32,3.16,278043648.0,250002.0,514,33027.09,✓,✗,11.28 ± 5.45 / 28.12 ± 6.89@@11.277518738034527,90.60 ± 0.45 / 90.78 ± 0.45@@90.60089682784212,22.86 ± 13.14 / 59.92 ± 6.74@@22.858894440447717,33.83 ± 1.68 / 24.90 ± 1.52@@33.83286702803086,13.3.0@@130300,<9.2.0@@0,<9.2.0@@0,13.0.0@@130000
"gpt-4o-2024-05-13 (few-shot, val)",3.2,,200019.0,127997,916.47,✓,✗,27.30 ± 11.60 / 55.31 ± 9.21@@27.2971432533293,81.86 ± 2.08 / 67.98 ± 3.64@@81.85604491991457,-0.97 ± 2.82 / 33.64 ± 0.85@@-0.9655215648789248,78.76 ± 1.86 / 56.45 ± 2.88@@78.76006528232134,13.3.0@@130300,12.10.0@@121000,12.10.0@@121000,13.0.0@@130000
vesteinn/ScandiBERT-no-faroese,3.25,124498007.0,50005.0,514,14175.34,✓,✗,6.88 ± 5.56 / 24.40 ± 8.37@@6.883631724027872,88.14 ± 0.58 / 88.89 ± 0.52@@88.1421763871357,27.71 ± 9.67 / 61.60 ± 5.69@@27.70774201984379,29.37 ± 3.28 / 20.47 ± 2.44@@29.37073024403427,13.3.0@@130300,<9.2.0@@0,<9.2.0@@0,13.0.0@@130000
mistralai/Mixtral-8x7B-Instruct-v0.1 (few-shot),3.27,46702792704.0,32000.0,32768,5535.32,✓,✗,43.99 ± 2.94 / 59.58 ± 2.00@@43.99262826550614,63.43 ± 0.93 / 41.57 ± 2.20@@63.43438891518712,9.38 ± 2.05 / 51.75 ± 1.36@@9.383537660436367,49.54 ± 4.57 / 25.35 ± 3.98@@49.54293244160451,14.0.4@@140004,14.0.4@@140004,14.0.4@@140004,14.0.4@@140004
NorwAI/NorwAI-Mixtral-8x7B-instruct (few-shot),3.33,46997647360.0,67993.0,32768,9015.47,✓,✗,40.74 ± 5.37 / 57.33 ± 4.26@@40.74255303281632,58.62 ± 3.34 / 53.80 ± 3.15@@58.619772823823354,5.58 ± 2.68 / 45.68 ± 4.79@@5.579827560050702,52.48 ± 5.80 / 28.04 ± 7.49@@52.48008302766808,14.0.4@@140004,14.0.4@@140004,14.0.4@@140004,14.0.4@@140004
CohereForAI/c4ai-command-r-v01 (few-shot),3.33,34980831232.0,256000.0,8192,1919.22,✗,✗,44.01 ± 1.86 / 55.97 ± 2.61@@44.00934122319134,64.53 ± 1.51 / 50.53 ± 3.29@@64.53015635628792,2.39 ± 1.56 / 38.90 ± 2.09@@2.393614559142547,58.25 ± 3.25 / 34.84 ± 3.88@@58.25247754348426,14.0.4@@140004,14.0.4@@140004,14.0.4@@140004,14.0.4@@140004
NorwAI/NorwAI-Mixtral-8x7B (few-shot),3.39,46997647360.0,67993.0,32768,2368.15,✓,✗,31.36 ± 5.40 / 50.13 ± 5.67@@31.36440568961844,62.60 ± 3.09 / 54.91 ± 2.40@@62.597002694317084,5.21 ± 3.15 / 46.32 ± 4.42@@5.213933886358335,62.48 ± 2.01 / 45.33 ± 1.66@@62.47966027077039,14.0.4@@140004,14.0.4@@140004,14.0.4@@140004,14.3.0@@140300
mideind/IceBERT-xlmr-ic3,3.39,278043648.0,250002.0,512,11004.24,✓,✗,7.80 ± 5.19 / 24.52 ± 6.96@@7.796281852648806,87.79 ± 0.40 / 88.46 ± 0.31@@87.78719857959565,22.51 ± 10.65 / 55.58 ± 8.05@@22.510913020153787,16.82 ± 5.50 / 11.16 ± 3.59@@16.82153938663014,13.3.0@@130300,<9.2.0@@0,<9.2.0@@0,13.0.0@@130000
tiiuae/Falcon3-7B-Instruct (few-shot),3.39,7455550464.0,131072.0,32768,2978.29,✓,✗,31.50 ± 3.17 / 51.49 ± 1.88@@31.501673800925133,59.19 ± 1.96 / 56.32 ± 2.08@@59.18790164758675,7.30 ± 1.78 / 51.03 ± 1.84@@7.2997237860777915,60.96 ± 1.47 / 43.44 ± 1.59@@60.96423126468958,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300
intfloat/multilingual-e5-large-instruct,3.44,559890432.0,250002.0,512,8191.09,✓,✗,23.63 ± 6.26 / 44.37 ± 7.53@@23.626150661711055,88.64 ± 0.34 / 89.11 ± 0.29@@88.63617593049212,2.05 ± 2.30 / 47.88 ± 2.17@@2.052596811277709,37.60 ± 4.39 / 24.09 ± 4.66@@37.60139265773807,13.3.0@@130300,13.0.0@@130000,13.0.0@@130000,13.0.0@@130000
meta-llama/Llama-3.1-8B (few-shot),3.45,8030261248.0,128256.0,131072,1481.56,✓,✗,24.30 ± 7.03 / 35.85 ± 7.35@@24.303521022753714,65.65 ± 3.31 / 63.81 ± 2.72@@65.6521861669375,0.61 ± 1.75 / 35.51 ± 2.23@@0.6144342393248996,71.82 ± 1.36 / 51.33 ± 1.67@@71.81654073092152,14.1.2@@140102,14.0.4@@140004,14.1.2@@140102,14.3.0@@140300
google/rembert,3.45,575920384.0,250300.0,512,5179.84,✓,✗,0.04 ± 3.09 / 17.28 ± 2.02@@0.03677554059324857,87.35 ± 0.94 / 87.65 ± 0.94@@87.35231327588149,14.65 ± 11.12 / 46.36 ± 10.23@@14.646327163772582,48.41 ± 2.09 / 36.10 ± 1.91@@48.40538518059865,13.3.0@@130300,<9.2.0@@0,<9.2.0@@0,13.0.0@@130000
jonfd/electra-small-nordic,3.47,21943424.0,96105.0,128,42753.05,✓,✗,-0.16 ± 3.99 / 22.65 ± 3.79@@-0.1630359538234411,85.80 ± 0.25 / 86.58 ± 0.26@@85.8049541961661,30.88 ± 2.36 / 63.79 ± 1.33@@30.878015115397922,0.00 ± 0.00 / 0.00 ± 0.00@@0.0,13.3.0@@130300,<9.2.0@@0,<9.2.0@@0,13.0.0@@130000
nvidia/mistral-nemo-minitron-8b-instruct (few-shot),3.47,8414105600.0,131072.0,8192,3160.57,✓,✗,42.98 ± 3.22 / 60.44 ± 2.81@@42.98096882017884,67.72 ± 1.04 / 51.81 ± 3.32@@67.71915182779615,6.40 ± 1.61 / 51.02 ± 1.86@@6.396219290013061,29.23 ± 1.59 / 0.07 ± 0.10@@29.231960262946956,14.1.1@@140101,14.1.1@@140101,14.1.1@@140101,14.1.1@@140101
mistralai/Ministral-8B-Instruct-2410 (few-shot),3.49,8019808256.0,131072.0,32768,1300.24,✓,✗,29.49 ± 2.40 / 47.06 ± 2.82@@29.491829155860156,65.55 ± 1.39 / 51.57 ± 3.35@@65.5485660322093,2.05 ± 1.58 / 35.92 ± 2.05@@2.0456554329460537,65.78 ± 1.43 / 47.72 ± 2.10@@65.78113020121033,14.0.4@@140004,14.0.4@@140004,14.0.4@@140004,14.0.4@@140004
TrustLLMeu/baseline-7-8b_2-3t-tokens_llama (few-shot),3.5,7799574528.0,100096.0,4096,2854.26,✓,✗,35.89 ± 6.78 / 51.31 ± 5.12@@35.88874722226035,50.70 ± 4.42 / 49.72 ± 4.25@@50.7022028951118,3.67 ± 3.08 / 46.18 ± 4.95@@3.668419430629356,62.79 ± 1.96 / 44.21 ± 1.57@@62.78957551918079,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300
CohereForAI/aya-expanse-8b (few-shot),3.5,8028033024.0,256000.0,8192,1341.64,✗,✗,28.57 ± 4.08 / 50.22 ± 2.92@@28.568285715119778,64.72 ± 1.73 / 47.25 ± 4.90@@64.72472650087695,5.12 ± 1.16 / 51.09 ± 0.89@@5.119982228737738,56.89 ± 3.51 / 38.83 ± 3.81@@56.886236182632445,14.0.4@@140004,14.0.4@@140004,14.0.4@@140004,14.0.4@@140004
intfloat/multilingual-e5-large,3.5,559890946.0,250002.0,512,6118.45,✓,✗,18.28 ± 3.38 / 39.08 ± 2.62@@18.280451118719373,88.39 ± 0.86 / 88.75 ± 0.75@@88.38721674640405,2.85 ± 1.32 / 48.43 ± 2.29@@2.8467941464898625,43.72 ± 2.89 / 31.03 ± 1.94@@43.724135374777106,13.3.0@@130300,<9.2.0@@0,<9.2.0@@0,13.0.0@@130000
NbAiLab/nb-llama-3.1-70B (few-shot),3.51,70553706496.0,128256.0,131072,1219.56,✓,✗,48.44 ± 4.16 / 54.28 ± 3.55@@48.43713619496596,65.06 ± 2.04 / 64.49 ± 1.85@@65.06308499245603,3.30 ± 1.95 / 34.38 ± 1.34@@3.2988713705368906,23.68 ± 0.61 / 0.00 ± 0.00@@23.67643409326949,14.0.4@@140004,14.0.4@@140004,14.0.4@@140004,14.3.0@@140300
mistralai/Mistral-7B-Instruct-v0.2 (few-shot),3.53,7241732096.0,32000.0,32768,2356.01,✗,✗,32.07 ± 3.55 / 51.69 ± 3.46@@32.06995467852649,61.28 ± 2.98 / 54.02 ± 3.55@@61.27657803226098,1.68 ± 1.41 / 50.06 ± 1.22@@1.6811480844661923,59.78 ± 1.14 / 39.00 ± 1.21@@59.78303477665255,13.3.0@@130300,9.2.0@@90200,9.3.1@@90301,13.0.0@@130000
meta-llama/Llama-3.2-3B-Instruct (few-shot),3.54,3212749824.0,128256.0,131072,2101.25,✗,✗,32.79 ± 2.01 / 41.82 ± 1.09@@32.79370596635934,58.24 ± 3.73 / 47.44 ± 4.83@@58.24173217452999,1.77 ± 2.13 / 45.44 ± 4.00@@1.7667118152617531,64.71 ± 0.74 / 45.13 ± 1.12@@64.70998234166049,14.1.2@@140102,13.0.0@@130000,13.0.0@@130000,13.0.0@@130000
utter-project/EuroLLM-9B-Instruct (few-shot),3.55,9152319488.0,128000.0,4096,1483.46,✗,✗,35.84 ± 8.64 / 48.22 ± 7.58@@35.841544259858715,54.79 ± 2.33 / 46.30 ± 4.57@@54.7868069637595,0.00 ± 0.00 / 33.26 ± 0.54@@0.0,62.06 ± 2.17 / 41.94 ± 2.59@@62.0576556243725,14.0.4@@140004,14.0.4@@140004,14.0.4@@140004,14.0.4@@140004
mistralai/Mistral-7B-v0.3 (few-shot),3.56,7248023552.0,32768.0,32768,1424.11,✓,✗,26.73 ± 4.70 / 45.03 ± 5.25@@26.725956183056397,61.32 ± 4.26 / 59.28 ± 4.43@@61.3194537198754,1.30 ± 1.64 / 45.10 ± 3.27@@1.3037373878982688,62.38 ± 1.68 / 44.98 ± 1.62@@62.376421827267144,14.1.2@@140102,12.10.4@@121004,12.10.4@@121004,13.0.0@@130000
mistralai/Mistral-7B-v0.1 (few-shot),3.57,7241732096.0,32000.0,4096,1428.18,✓,✗,25.57 ± 6.07 / 44.34 ± 6.18@@25.570015158730197,62.63 ± 3.44 / 57.85 ± 3.72@@62.63457075578985,2.84 ± 1.84 / 42.62 ± 4.53@@2.8352491197917185,60.40 ± 2.37 / 44.06 ± 1.93@@60.40034313714674,14.1.2@@140102,9.1.2@@90102,9.1.2@@90102,13.0.0@@130000
Mabeck/Heidrun-Mistral-7B-chat (few-shot),3.59,7241732096.0,32000.0,4096,1418.7,✗,✗,26.90 ± 4.62 / 39.87 ± 5.82@@26.897134591422816,63.40 ± 2.78 / 59.96 ± 2.91@@63.404869090869,2.16 ± 2.25 / 39.38 ± 4.12@@2.164068717101039,57.50 ± 1.39 / 40.73 ± 1.32@@57.499256552405484,13.3.0@@130300,12.7.0@@120700,12.7.0@@120700,13.0.0@@130000
NbAiLab/nb-sbert-base,3.59,177853440.0,119547.0,512,17756.84,✓,✗,19.12 ± 2.94 / 41.88 ± 2.47@@19.124386589124725,86.20 ± 0.50 / 86.91 ± 0.46@@86.19693264713824,11.80 ± 7.52 / 53.06 ± 5.04@@11.803824805959525,11.22 ± 1.50 / 7.47 ± 1.01@@11.222241406718634,13.3.0@@130300,12.10.5@@121005,12.10.5@@121005,13.0.0@@130000
Geotrend/bert-base-25lang-cased,3.6,151309824.0,84985.0,512,46515.5,✓,✗,5.17 ± 4.32 / 26.72 ± 6.11@@5.1674851419280134,86.09 ± 1.03 / 86.85 ± 1.02@@86.08775579549906,15.24 ± 6.84 / 50.54 ± 4.85@@15.23515708077763,22.99 ± 1.63 / 14.82 ± 1.50@@22.990028872495866,13.3.0@@130300,<9.2.0@@0,<9.2.0@@0,13.0.0@@130000
ibm-granite/granite-3.0-8b-base (few-shot),3.6,8170835968.0,49152.0,4096,2514.59,✓,✗,24.35 ± 6.38 / 30.32 ± 5.04@@24.34536031447682,61.47 ± 1.57 / 58.60 ± 2.31@@61.46933342139802,1.44 ± 1.85 / 34.71 ± 1.84@@1.444558027434297,58.90 ± 1.24 / 41.54 ± 1.49@@58.89586157267644,14.1.2@@140102,13.0.0@@130000,13.0.0@@130000,13.0.0@@130000
ibm-granite/granite-3.0-8b-instruct (few-shot),3.62,8170848256.0,49155.0,4096,1279.43,✓,✗,28.33 ± 7.70 / 49.72 ± 6.84@@28.33060930034244,59.96 ± 2.42 / 58.61 ± 2.57@@59.9594567253619,2.24 ± 1.78 / 41.32 ± 3.70@@2.2388512417478212,57.16 ± 2.10 / 39.52 ± 1.83@@57.16397549127096,13.3.0@@130300,13.0.0@@130000,13.0.0@@130000,13.0.0@@130000
TrustLLMeu/baseline-7-8b_1t-tokens_llama (few-shot),3.62,7799574528.0,100096.0,4096,6196.57,✓,✗,38.95 ± 6.82 / 55.17 ± 6.98@@38.948037213697404,43.13 ± 3.96 / 42.16 ± 3.93@@43.12822420617678,0.88 ± 1.93 / 34.15 ± 0.71@@0.8810918523588136,63.19 ± 1.25 / 43.32 ± 1.32@@63.18888141378866,14.3.0@@140300,13.0.0@@130000,13.0.0@@130000,13.0.0@@130000
meta-llama/Meta-Llama-3-8B (few-shot),3.62,8030261248.0,128256.0,8192,1476.79,✓,✗,19.40 ± 8.13 / 32.14 ± 7.75@@19.399224399864394,61.11 ± 4.21 / 58.55 ± 4.19@@61.10585231319099,2.02 ± 1.68 / 39.88 ± 3.56@@2.0217111721416976,69.96 ± 1.89 / 50.58 ± 1.81@@69.95853500969422,14.1.2@@140102,12.6.1@@120601,12.6.1@@120601,14.3.0@@140300
ltg/norbert3-base,3.63,124030464.0,50000.0,512,20252.89,✓,✗,1.08 ± 4.61 / 24.02 ± 3.61@@1.079930256306267,86.94 ± 0.47 / 87.58 ± 0.46@@86.94403101427358,12.35 ± 8.96 / 53.00 ± 5.17@@12.347990319315453,34.06 ± 2.82 / 24.57 ± 2.18@@34.063579258524726,14.1.2@@140102,12.7.0@@120700,12.7.0@@120700,13.0.0@@130000
mideind/IceBERT-large,3.67,355088384.0,50000.0,512,5676.95,✓,✗,2.92 ± 3.57 / 25.10 ± 5.74@@2.916716766624692,86.84 ± 0.77 / 87.51 ± 0.72@@86.84453945144567,9.82 ± 3.95 / 50.49 ± 3.45@@9.819349345582376,30.11 ± 2.76 / 21.19 ± 2.49@@30.107168931637652,13.3.0@@130300,<9.2.0@@0,<9.2.0@@0,13.0.0@@130000
Nexusflow/Starling-LM-7B-beta (few-shot),3.67,7241748480.0,32002.0,4096,1990.47,✗,✗,26.68 ± 6.93 / 47.94 ± 8.20@@26.68240043971466,62.20 ± 1.42 / 45.92 ± 2.03@@62.19824288250712,7.07 ± 2.30 / 44.94 ± 2.71@@7.072975440841976,31.69 ± 3.66 / 11.94 ± 3.62@@31.685592429848278,14.0.4@@140004,14.0.4@@140004,14.0.4@@140004,14.3.0@@140300
mhenrichsen/hestenettetLM (few-shot),3.67,7241732096.0,32000.0,4096,1150.9,✓,✗,24.67 ± 6.35 / 43.87 ± 6.36@@24.66994404259805,61.81 ± 2.69 / 59.37 ± 2.94@@61.807849156391924,1.32 ± 1.90 / 40.36 ± 4.18@@1.3160034977015265,51.48 ± 2.47 / 35.62 ± 1.71@@51.47777249211996,14.1.2@@140102,14.0.4@@140004,14.1.2@@140102,14.0.4@@140004
