model,generative_type,rank,parameters,vocabulary_size,context,commercial,merge,angry_tweets,dansk,scala_da,scandiqa_da,angry_tweets_version,dansk_version,scala_da_version,scandiqa_da_version
<a href='https://huggingface.co/meta-llama/Llama-3.1-70B-Instruct'>meta-llama/Llama-3.1-70B-Instruct (few-shot)</a>,📝,1.42@@1.42,70553706496.0,128256.0,131072.0,✓,✗,60.52 ± 1.22 / 72.91 ± 1.05@@60.51964839745465,68.57 ± 0.95 / 50.90 ± 2.30@@68.56762479703879,57.57 ± 0.79 / 78.54 ± 0.46@@57.56688398132251,63.94 ± 0.72 / 54.33 ± 1.19@@63.9398431462442,14.0.3@@140003,14.0.3@@140003,14.0.3@@140003,14.0.3@@140003
<a href='https://huggingface.co/deepcogito/cogito-v1-preview-llama-70B'>deepcogito/cogito-v1-preview-llama-70B (few-shot)</a>,📝,1.44@@1.44,70553706496.0,128256.0,131072.0,✓,✗,58.56 ± 1.36 / 72.37 ± 0.91@@58.55707274764927,67.99 ± 1.45 / 49.48 ± 2.20@@67.99137067272247,58.23 ± 2.10 / 77.62 ± 1.60@@58.22783853705683,65.42 ± 0.79 / 53.52 ± 1.49@@65.41571249181264,15.9.1@@150901,15.9.1@@150901,15.9.1@@150901,15.9.1@@150901
"<a href='https://platform.openai.com/docs/models/o4-mini'>o4-mini-2025-04-16 (zero-shot, val)</a>",🤔,1.45@@1.45,,,200000.0,✓,✗,57.47 ± 1.17 / 71.32 ± 0.84@@57.46867434240468,66.47 ± 1.32 / 53.65 ± 1.45@@66.46841952108014,63.65 ± 2.00 / 80.10 ± 1.11@@63.64690992460721,63.14 ± 0.79 / 53.51 ± 0.83@@63.13941118554281,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-2.5-flash-preview-04-17'>gemini/gemini-2.5-flash-preview-04-17 (zero-shot, val)</a>",🤔,1.45@@1.45,,256128.0,1048576.0,✓,✗,63.76 ± 1.79 / 75.72 ± 1.28@@63.76485704667565,64.55 ± 0.84 / 53.04 ± 1.56@@64.54828729376749,64.54 ± 2.06 / 82.20 ± 1.03@@64.54364374701551,56.08 ± 0.71 / 46.98 ± 1.34@@56.07966112473953,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601
"<a href='https://platform.openai.com/docs/models/o3-mini'>o3-mini-2025-01-31 (zero-shot, val)</a>",🤔,1.45@@1.45,,,200000.0,✓,✗,62.16 ± 1.81 / 74.37 ± 1.25@@62.16414458139283,66.46 ± 1.90 / 54.53 ± 1.80@@66.46158431503608,61.12 ± 3.48 / 80.27 ± 1.70@@61.124789457875984,60.47 ± 0.97 / 48.77 ± 1.27@@60.47345529081347,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601
"<a href='https://platform.openai.com/docs/models/gpt-4.1'>gpt-4.1-2025-04-14 (zero-shot, val)</a>",📝,1.46@@1.46,,,1047576.0,✓,✗,56.86 ± 1.97 / 70.38 ± 1.40@@56.86186566667442,64.35 ± 1.69 / 43.33 ± 2.20@@64.35491830780869,65.91 ± 1.73 / 82.90 ± 0.87@@65.91141001001877,64.75 ± 1.01 / 50.13 ± 1.23@@64.75313275210739,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601
"<a href='https://platform.openai.com/docs/models/gpt-4o'>gpt-4o-2024-05-13 (few-shot, val)</a>",📝,1.46@@1.46,,200019.0,128028.0,✓,✗,49.42 ± 3.29 / 61.74 ± 2.59@@49.42372610071974,71.15 ± 2.89 / 52.24 ± 3.76@@71.14680772858678,64.59 ± 2.97 / 79.93 ± 1.88@@64.58662260096766,67.87 ± 1.75 / 57.35 ± 2.51@@67.87199794952302,12.10.2@@121002,12.10.0@@121000,12.10.2@@121002,12.10.0@@121000
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-2.0-flash-001'>gemini/gemini-2.0-flash-001 (few-shot, val)</a>",📝,1.46@@1.46,,256128.0,1048576.0,✓,✗,61.01 ± 1.46 / 73.70 ± 1.00@@61.01440651849407,66.89 ± 1.90 / 61.03 ± 2.81@@66.89455664679173,63.01 ± 4.02 / 81.20 ± 2.01@@63.00839601605038,59.58 ± 1.06 / 48.19 ± 1.11@@59.58270164661265,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500
<a href='https://huggingface.co/meta-llama/Llama-3.1-70B'>meta-llama/Llama-3.1-70B (few-shot)</a>,🧠,1.47@@1.47,70553706496.0,128256.0,131072.0,✓,✗,58.45 ± 1.91 / 71.87 ± 1.42@@58.450937937265024,65.13 ± 1.46 / 51.32 ± 1.95@@65.13129326704859,56.55 ± 1.33 / 76.56 ± 1.07@@56.55204086833858,69.01 ± 0.59 / 62.69 ± 1.17@@69.01048195422327,15.7.2@@150702,15.7.2@@150702,15.7.2@@150702,15.7.2@@150702
"<a href='https://platform.openai.com/docs/models/gpt-4o-mini'>gpt-4o-mini-2024-07-18 (few-shot, val)</a>",📝,1.47@@1.47,,200019.0,128000.0,✓,✗,56.91 ± 2.34 / 71.25 ± 1.60@@56.91403167576825,59.96 ± 1.64 / 41.55 ± 2.90@@59.956447152855716,67.13 ± 4.29 / 83.05 ± 2.24@@67.13339863678074,65.87 ± 1.53 / 54.44 ± 1.48@@65.86953441489553,14.0.0@@140000,14.0.0@@140000,14.0.0@@140000,15.1.0.dev0@@150100
<a href='https://huggingface.co/meta-llama/Meta-Llama-3-70B'>meta-llama/Meta-Llama-3-70B (few-shot)</a>,🧠,1.47@@1.47,70553706496.0,128256.0,8192.0,✓,✗,58.13 ± 1.33 / 71.61 ± 1.04@@58.131617427553216,63.21 ± 1.85 / 49.31 ± 2.84@@63.20953489572727,56.12 ± 2.42 / 76.82 ± 2.07@@56.123007082781804,69.67 ± 0.59 / 63.62 ± 1.18@@69.67019995617225,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300
"<a href='https://platform.openai.com/docs/models/gpt-4.1-mini'>gpt-4.1-mini-2025-04-14 (few-shot, val)</a>",📝,1.49@@1.49,,,1047576.0,✓,✗,56.90 ± 1.83 / 70.69 ± 1.39@@56.898771672766976,64.80 ± 1.32 / 51.35 ± 2.76@@64.80116581293618,60.36 ± 3.99 / 77.04 ± 2.91@@60.35748559992575,63.95 ± 1.00 / 51.59 ± 1.21@@63.95264716995257,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601
<a href='https://huggingface.co/meta-llama/Llama-3.3-70B-Instruct'>meta-llama/Llama-3.3-70B-Instruct (few-shot)</a>,📝,1.53@@1.53,70553706496.0,128256.0,131072.0,✓,✗,59.89 ± 0.97 / 72.51 ± 0.84@@59.89211210149722,67.07 ± 1.22 / 48.82 ± 2.09@@67.06667524215585,56.56 ± 2.10 / 77.06 ± 1.62@@56.56096729716398,62.78 ± 0.39 / 49.02 ± 0.61@@62.77754255397783,14.0.3@@140003,14.0.3@@140003,14.0.3@@140003,14.0.3@@140003
<a href='https://huggingface.co/google/gemma-3-27b-it'>google/gemma-3-27b-it (few-shot)</a>,📝,1.53@@1.53,27432406640.0,262144.0,,✓,✗,57.40 ± 1.48 / 71.71 ± 1.09@@57.40479481080871,61.91 ± 1.26 / 50.60 ± 2.37@@61.91137846512318,62.41 ± 1.38 / 81.00 ± 0.81@@62.41480228864287,64.35 ± 0.84 / 54.15 ± 1.32@@64.3490406362606,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500
<a href='https://huggingface.co/deepcogito/cogito-v1-preview-qwen-32B'>deepcogito/cogito-v1-preview-qwen-32B (few-shot)</a>,📝,1.54@@1.54,32759790592.0,151665.0,131072.0,✓,✗,56.14 ± 1.16 / 70.25 ± 0.55@@56.13814433042721,68.07 ± 1.02 / 47.18 ± 2.71@@68.07161331037427,56.72 ± 1.45 / 77.47 ± 0.82@@56.72198298710526,65.66 ± 0.55 / 56.59 ± 0.72@@65.6602878622634,15.8.1.dev0@@150801,15.8.1.dev0@@150801,15.8.1.dev0@@150801,15.8.1.dev0@@150801
"<a href='https://platform.openai.com/docs/models/gpt-4o'>gpt-4o-2024-05-13 (zero-shot, val)</a>",📝,1.55@@1.55,,200019.0,8191.0,✓,✗,53.07 ± 1.45 / 68.64 ± 1.04@@53.072441743589884,64.80 ± 1.56 / 45.57 ± 1.47@@64.79769253130317,64.18 ± 3.36 / 81.90 ± 1.68@@64.1777759757754,63.09 ± 1.29 / 49.02 ± 1.18@@63.08891304537468,14.0.3@@140003,14.0.3@@140003,14.0.3@@140003,14.0.3@@140003
<a href='https://huggingface.co/Qwen/Qwen2.5-72B-Instruct'>Qwen/Qwen2.5-72B-Instruct (few-shot)</a>,📝,1.55@@1.55,72706203648.0,152064.0,32768.0,✓,✗,54.50 ± 1.55 / 69.89 ± 1.02@@54.50245805775646,63.81 ± 1.27 / 42.18 ± 2.59@@63.81398165175176,57.19 ± 1.30 / 78.30 ± 0.79@@57.193622064101454,67.26 ± 0.69 / 55.77 ± 0.97@@67.26418879394669,14.0.4@@140004,14.0.4@@140004,14.0.4@@140004,14.0.4@@140004
<a href='https://huggingface.co/KennethEnevoldsen/dfm-sentence-encoder-large-1'>KennethEnevoldsen/dfm-sentence-encoder-large-1</a>,🔍,1.55@@1.55,407389520.0,50000.0,512.0,✓,✗,51.44 ± 2.19 / 67.20 ± 1.47@@51.435168817872814,70.44 ± 1.80 / 66.28 ± 1.53@@70.43554979156565,70.42 ± 4.59 / 84.06 ± 2.72@@70.41767872588662,51.96 ± 1.29 / 46.01 ± 1.18@@51.96084021420114,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-2.5-pro-preview-03-25'>gemini/gemini-2.5-pro-preview-03-25 (zero-shot, val)</a>",🤔,1.56@@1.56,,256128.0,1048576.0,✓,✗,56.12 ± 1.91 / 68.88 ± 1.47@@56.12197999321911,63.48 ± 2.06 / 44.17 ± 1.83@@63.47803491481714,68.32 ± 2.81 / 83.71 ± 1.50@@68.32397100294705,56.43 ± 0.88 / 42.35 ± 1.19@@56.427705689648974,15.8.0.dev0@@150800,15.8.0.dev0@@150800,15.8.0.dev0@@150800,15.8.0.dev0@@150800
"<a href='https://docs.x.ai/docs/models'>xai/grok-3-mini-beta@high (zero-shot, val)</a>",🤔,1.56@@1.56,,,131072.0,✓,✗,54.45 ± 2.03 / 68.07 ± 1.44@@54.447422094739174,64.40 ± 2.06 / 50.35 ± 1.94@@64.39699798468294,63.61 ± 2.81 / 81.26 ± 1.53@@63.611565630003255,60.93 ± 0.77 / 47.54 ± 1.09@@60.92508960449501,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601
<a href='https://huggingface.co/mistralai/Mistral-Small-3.1-24B-Instruct-2503'>mistralai/Mistral-Small-3.1-24B-Instruct-2503 (few-shot)</a>,🧠,1.56@@1.56,24011361280.0,131072.0,,✓,✗,57.13 ± 1.49 / 71.12 ± 1.09@@57.13298773636492,64.95 ± 1.63 / 52.57 ± 2.04@@64.94549491985899,53.08 ± 2.30 / 75.38 ± 2.18@@53.07511836408183,66.72 ± 0.94 / 59.27 ± 1.85@@66.72306008492781,15.9.1.dev0@@150901,15.9.1.dev0@@150901,15.9.1.dev0@@150901,15.9.1.dev0@@150901
<a href='https://huggingface.co/AI-Sweden-Models/roberta-large-1160k'>AI-Sweden-Models/roberta-large-1160k</a>,🔍,1.56@@1.56,355412057.0,50265.0,512.0,✓,✗,49.61 ± 2.64 / 65.14 ± 2.83@@49.60510806656133,70.40 ± 2.55 / 67.41 ± 2.07@@70.39733744959481,71.53 ± 1.52 / 85.01 ± 1.21@@71.5323669639545,52.99 ± 1.32 / 47.30 ± 1.24@@52.99152977508644,15.9.2@@150902,15.9.2@@150902,15.9.2@@150902,15.9.2@@150902
<a href='https://huggingface.co/mistralai/Mistral-Small-3.1-24B-Base-2503'>mistralai/Mistral-Small-3.1-24B-Base-2503 (few-shot)</a>,🧠,1.56@@1.56,24011361280.0,131072.0,,✓,✗,56.78 ± 1.62 / 70.95 ± 1.28@@56.778686927110456,63.33 ± 1.66 / 50.14 ± 2.88@@63.327165436736365,54.60 ± 1.82 / 76.77 ± 1.11@@54.60203693307963,66.92 ± 1.09 / 59.43 ± 2.31@@66.92102413137934,15.9.1.dev0@@150901,15.9.1.dev0@@150901,15.9.1.dev0@@150901,15.9.1.dev0@@150901
<a href='https://huggingface.co/meta-llama/Meta-Llama-3-70B-Instruct'>meta-llama/Meta-Llama-3-70B-Instruct (few-shot)</a>,📝,1.57@@1.57,70553706496.0,128256.0,8192.0,✓,✗,58.14 ± 1.36 / 70.46 ± 1.28@@58.13694050421011,64.02 ± 1.51 / 47.54 ± 1.89@@64.0203691577869,52.62 ± 1.32 / 75.42 ± 0.98@@52.617207208123936,63.39 ± 0.80 / 52.02 ± 1.66@@63.38963316254525,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300
<a href='https://huggingface.co/danish-foundation-models/encoder-large-v1'>danish-foundation-models/encoder-large-v1</a>,🔍,1.58@@1.58,355139920.0,50000.0,512.0,✓,✗,50.28 ± 1.77 / 66.38 ± 1.28@@50.28237737497854,68.15 ± 2.11 / 64.42 ± 2.07@@68.14950498242021,70.99 ± 2.85 / 84.23 ± 1.81@@70.9918354609926,53.08 ± 1.20 / 46.62 ± 1.24@@53.07540897053168,15.9.2@@150902,15.9.2@@150902,15.9.2@@150902,15.9.2@@150902
<a href='https://ollama.com/library/gemma3:27b-it-fp16'>ollama_chat/gemma3:27b-it-fp16 (few-shot)</a>,📝,1.59@@1.59,,,,✓,✗,56.38 ± 1.59 / 70.85 ± 1.19@@56.38274309469195,63.09 ± 1.90 / 50.67 ± 2.61@@63.089608248790476,56.28 ± 1.84 / 77.57 ± 1.04@@56.27680942386728,62.80 ± 0.90 / 53.53 ± 1.50@@62.80043783194242,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301
<a href='https://huggingface.co/KennethEnevoldsen/dfm-sentence-encoder-large'>KennethEnevoldsen/dfm-sentence-encoder-large</a>,🔍,1.59@@1.59,407389520.0,50000.0,512.0,✓,✗,53.20 ± 1.53 / 68.53 ± 1.09@@53.19570539920816,70.83 ± 1.47 / 66.86 ± 1.18@@70.82538766912747,65.06 ± 7.64 / 80.52 ± 4.97@@65.05562313101186,52.34 ± 1.04 / 46.34 ± 1.05@@52.33863536714796,15.3.1.dev0@@150301,15.3.1.dev0@@150301,15.3.1.dev0@@150301,15.3.1.dev0@@150301
<a href='https://huggingface.co/google/gemma-3-27b-pt'>google/gemma-3-27b-pt (few-shot)</a>,🧠,1.61@@1.61,27432406640.0,262144.0,,✓,✗,52.57 ± 1.98 / 64.54 ± 2.60@@52.571748543306974,56.71 ± 1.80 / 41.49 ± 2.48@@56.71081544314035,62.81 ± 1.67 / 81.16 ± 0.93@@62.811931320846256,69.13 ± 0.66 / 62.57 ± 1.39@@69.12689561845119,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500
<a href='https://huggingface.co/google/gemma-3-12b-it'>google/gemma-3-12b-it (few-shot)</a>,📝,1.62@@1.62,12187325040.0,262144.0,,✓,✗,56.67 ± 1.45 / 71.25 ± 0.98@@56.665855330913175,60.61 ± 1.76 / 39.25 ± 2.41@@60.61352682383866,56.51 ± 1.91 / 77.61 ± 1.20@@56.51410997928795,64.61 ± 0.42 / 55.95 ± 0.97@@64.61422906461549,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500
<a href='https://huggingface.co/ThatsGroes/gemma-2-27b-it-FP8-Dynamic'>ThatsGroes/gemma-2-27b-it-FP8-Dynamic (few-shot)</a>,📝,1.63@@1.63,28410968576.0,256000.0,8192.0,✓,✗,58.86 ± 1.57 / 72.65 ± 1.27@@58.85779602569505,56.94 ± 2.34 / 34.99 ± 2.09@@56.942460932006014,56.57 ± 1.49 / 78.16 ± 0.75@@56.57485027183957,63.76 ± 0.47 / 54.54 ± 0.87@@63.7606128441714,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500
"<a href='https://platform.openai.com/docs/models/gpt-3.5-turbo'>gpt-3.5-turbo-0613 (few-shot, val)</a>",📝,1.63@@1.63,,100256.0,4094.0,✓,✗,52.52 ± 2.05 / 68.10 ± 1.35@@52.519715044101936,61.31 ± 2.34 / 49.86 ± 2.18@@61.31246842191167,57.63 ± 2.80 / 77.01 ± 1.83@@57.63386027920654,65.51 ± 1.48 / 57.03 ± 1.95@@65.51467384173678,12.9.0@@120900,12.9.0@@120900,12.9.0@@120900,12.9.0@@120900
"<a href='https://docs.x.ai/docs/models'>xai/grok-3-beta (zero-shot, val)</a>",📝,1.64@@1.64,,,131072.0,✓,✗,54.81 ± 2.03 / 68.25 ± 1.50@@54.81143027036541,58.81 ± 2.42 / 40.64 ± 1.82@@58.81073070892919,65.94 ± 1.78 / 82.95 ± 0.90@@65.94367345464168,59.73 ± 1.35 / 40.88 ± 1.38@@59.73412745415968,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601
<a href='https://huggingface.co/google/gemma-2-27b-it'>google/gemma-2-27b-it (few-shot)</a>,📝,1.65@@1.65,27227128320.0,256000.0,8192.0,✓,✗,57.63 ± 1.72 / 71.90 ± 1.42@@57.62717987189105,57.40 ± 2.20 / 34.93 ± 1.90@@57.40056360418937,56.38 ± 1.74 / 77.60 ± 0.99@@56.3801226552602,64.20 ± 0.39 / 55.22 ± 0.79@@64.19855403239364,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601
"<a href='https://docs.x.ai/docs/models'>xai/grok-2-1212 (zero-shot, val)</a>",📝,1.65@@1.65,,,131072.0,✓,✗,54.98 ± 2.94 / 68.49 ± 1.88@@54.97592468517449,60.31 ± 1.69 / 44.85 ± 1.75@@60.31211272473269,59.91 ± 3.18 / 78.22 ± 1.71@@59.90739912440336,62.24 ± 1.10 / 49.38 ± 1.30@@62.24498509065056,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500
<a href='https://huggingface.co/RekaAI/reka-flash-3'>RekaAI/reka-flash-3 (few-shot)</a>,🤔,1.67@@1.67,20905482240.0,100352.0,32768.0,✓,✗,57.97 ± 1.39 / 71.14 ± 1.10@@57.96822414093451,63.02 ± 2.17 / 41.96 ± 2.07@@63.018860613587144,48.26 ± 1.39 / 73.90 ± 0.64@@48.25740072593494,63.68 ± 0.31 / 54.82 ± 0.33@@63.68107180253402,15.9.2@@150902,15.9.2@@150902,15.9.2@@150902,15.9.2@@150902
<a href='https://huggingface.co/NovaSky-AI/Sky-T1-32B-Preview'>NovaSky-AI/Sky-T1-32B-Preview (few-shot)</a>,📝,1.67@@1.67,32763876352.0,152064.0,32768.0,✓,✗,55.70 ± 1.24 / 70.52 ± 0.76@@55.69949443876736,65.96 ± 1.19 / 42.70 ± 2.73@@65.9582281336915,48.08 ± 3.01 / 70.98 ± 2.42@@48.08391522268084,64.18 ± 0.53 / 51.48 ± 0.96@@64.18222387940258,15.8.2.dev0@@150802,15.8.2.dev0@@150802,15.8.2.dev0@@150802,15.8.2.dev0@@150802
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-1.5-flash-8b-001'>gemini/gemini-1.5-flash-8b-001 (few-shot, val)</a>",📝,1.68@@1.68,8000000000.0,256128.0,1048576.0,✓,✗,53.64 ± 3.23 / 66.23 ± 2.52@@53.63595626648026,58.96 ± 1.48 / 44.54 ± 2.97@@58.96220595246352,61.00 ± 2.78 / 80.42 ± 1.36@@60.9966918569238,60.42 ± 1.06 / 51.53 ± 1.42@@60.42457064410854,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500
<a href='https://huggingface.co/deepcogito/cogito-v1-preview-qwen-14B'>deepcogito/cogito-v1-preview-qwen-14B (few-shot)</a>,📝,1.69@@1.69,14765947904.0,151665.0,131072.0,✓,✗,54.87 ± 1.91 / 70.11 ± 1.39@@54.872180043827946,63.59 ± 1.67 / 44.74 ± 2.74@@63.593113378793035,47.52 ± 1.26 / 71.76 ± 1.08@@47.516747004570064,64.38 ± 0.43 / 55.11 ± 0.44@@64.37665121952904,15.8.1.dev0@@150801,15.8.1.dev0@@150801,15.8.1.dev0@@150801,15.8.1.dev0@@150801
