model,nlu_rank,nlg_rank,parameters,vocabulary_size,context,speed,commercial,merge,sb10k,germeval,scala-de,germanquad,mlsum,mmlu-de,hellaswag-de
google/gemma-2-9b-it (few-shot),1.88,4.71,9242,256,8193,2062.05,True,False,58.6,50.35,45.78,60.56,67.99,53.61,68.16
skole-gpt-mixtral (few-shot),1.88,4.71,N/A,32,32768,3582.66,False,False,59.45,57.82,36.75,63.95,69.37,50.96,39.28
Nexusflow/Starling-LM-7B-beta (few-shot),1.88,2.14,7242,32,8192,5875.95,False,False,51.8,65.01,36.18,67.3,66.92,37.9,60.66
google/gemma-2-9b (few-shot),1.91,4.71,9242,256,8193,2037.53,True,False,62.89,47.39,37.22,67.67,70.44,53.28,54.51
VAGOsolutions/FC-SauerkrautLM-7b-beta (few-shot),1.92,4.42,N/A,32,8192,2159.73,False,False,53.39,56.7,35.64,67.0,64.79,32.85,39.0
"cstr/Spaetzle-v8-7b (few-shot, val)",1.92,4.42,7242,32,32768,5979.63,False,True,61.34,58.9,31.58,60.88,67.25,34.62,48.7
"mlabonne/NeuralBeagle14-7B (few-shot, val)",1.96,4.71,7242,32,8192,2549.38,False,True,59.6,64.81,27.06,60.93,67.31,35.84,49.13
facebook/xlm-v-base,1.96,999.0,778,902,512,25396.22,True,False,58.25,76.45,34.43,41.84,,,
meta-llama/Llama-3.1-8B-Instruct (few-shot),1.97,4.71,8030,128,131072,1042.12,True,False,59.96,67.61,28.25,55.82,66.87,40.0,45.93
meta-llama/Llama-3.1-8B (few-shot),1.97,4.71,8030,128,131072,2363.74,True,False,58.57,60.46,26.25,64.05,69.58,38.77,34.29
meta-llama/Meta-Llama-3-8B-Instruct (few-shot),1.97,4.71,8030,128,8192,1040.29,True,False,58.33,68.18,29.12,56.42,65.23,38.44,37.69
CohereForAI/aya-23-8B (few-shot),1.97,1.58,8028,256,8192,5607.73,False,False,56.49,58.69,30.04,66.01,69.07,32.49,55.4
"gpt-3.5-turbo-0613 (few-shot, val)",1.98,4.71,N/A,100,4095,920.94,True,False,55.5,61.5,38.96,56.58,64.9,35.39,56.88
CohereForAI/aya-expanse-8b (few-shot),2.0,1.46,8028,256,8192,5581.05,False,False,59.19,61.29,33.31,57.68,69.05,44.87,63.66
"meta-llama/Llama-2-70b-chat-hf (few-shot, val)",2.0,4.71,68977,32,3841,1979.03,True,False,53.16,62.39,31.81,60.53,66.98,35.72,35.26
senseable/WestLake-7B-v2 (few-shot),2.04,4.71,7242,32,32768,5992.97,False,False,54.44,64.38,26.03,62.48,68.16,33.84,50.99
google-bert/bert-base-multilingual-uncased,2.05,999.0,167,106,512,13992.5,True,False,43.25,77.5,51.74,39.43,,,
microsoft/Phi-3-mini-4k-instruct (few-shot),2.08,4.71,3821,32,4096,5224.17,True,False,54.75,59.68,30.22,59.19,66.64,39.5,51.29
"mlabonne/AlphaMonarch-7B (few-shot, val)",2.09,4.71,7242,32,8192,5340.04,False,True,59.8,63.36,22.98,57.36,67.58,36.08,47.99
occiglot/occiglot-7b-de-en-instruct (few-shot),2.09,4.71,7242,32,32768,1584.3,False,False,55.91,55.76,22.47,66.86,68.08,33.77,33.15
ibm-granite/granite-3.0-8b-base (few-shot),2.11,4.71,8171,49,4096,5116.13,True,False,61.7,52.61,23.89,62.41,70.32,39.82,53.82
meta-llama/Meta-Llama-3-8B (few-shot),2.11,4.71,8030,128,8192,1046.19,True,False,56.4,56.0,22.01,64.61,68.92,38.12,31.37
google-bert/bert-base-multilingual-cased,2.14,999.0,178,120,512,14083.03,True,False,42.97,79.11,42.66,35.52,,,
ibm-granite/granite-3.0-8b-instruct (few-shot),2.15,4.71,8171,49,4096,5090.05,True,False,55.48,54.68,26.89,62.3,66.33,33.98,34.59
ZurichNLP/unsup-simcse-xlm-roberta-base,2.15,999.0,278,250,512,34520.24,True,False,58.23,74.5,34.74,26.81,,,
utter-project/EuroLLM-9B-Instruct (few-shot),2.18,4.71,9152,128,4096,5762.51,False,False,56.53,40.85,24.74,67.94,69.44,39.43,37.67
google/gemma-7b (few-shot),2.21,4.71,8538,256,8190,1377.83,True,False,56.23,39.88,32.71,64.92,69.41,41.56,30.77
microsoft/Phi-3-mini-128k-instruct (few-shot),2.22,4.71,3821,32,130817,7311.73,True,False,53.05,55.36,23.08,62.02,67.33,39.57,51.26
jhu-clsp/bernice,2.23,999.0,278,250,128,5566.94,True,False,62.0,72.25,48.1,0.0,,,
mistralai/Mistral-7B-v0.3 (few-shot),2.25,4.71,7248,33,32768,4120.34,True,False,52.58,55.41,24.1,60.03,68.96,35.06,28.85
mistralai/Mistral-7B-v0.1 (few-shot),2.25,4.71,7242,32,32768,2657.24,True,False,54.27,55.37,23.12,59.77,68.24,35.63,26.4
meta-llama/Llama-2-13b-chat-hf (few-shot),2.28,4.71,13016,32,4096,2849.49,True,False,49.4,57.57,23.32,61.1,68.01,27.06,26.96
alpindale/Mistral-7B-v0.2-hf (few-shot),2.29,4.42,7242,32,32768,1841.12,True,False,52.49,55.32,24.34,59.96,68.98,35.12,28.89
microsoft/xlm-align-base,2.29,999.0,278,250,512,14744.17,True,False,58.58,79.38,15.34,32.33,,,
cardiffnlp/twitter-xlm-roberta-base,2.31,999.0,278,250,512,34475.2,True,False,63.01,74.89,36.6,5.05,,,
occiglot/occiglot-7b-de-en (few-shot),2.31,4.71,7242,32,32768,1992.22,True,False,54.96,48.11,21.57,61.33,68.88,32.39,29.84
occiglot/occiglot-7b-eu5-instruct (few-shot),2.34,4.71,7242,32,32768,2087.8,False,False,43.16,52.63,27.09,63.29,69.43,32.56,23.61
Twitter/twhin-bert-base,2.35,999.0,279,250,512,11513.72,True,False,55.03,70.35,43.87,10.15,,,
"mayflowergmbh/Wiedervereinigung-7b-dpo (few-shot, val)",2.35,4.71,7242,32,32768,2374.27,False,True,51.92,52.17,29.06,50.41,63.78,35.38,34.16
mistralai/Mistral-7B-Instruct-v0.2 (few-shot),2.36,4.71,7242,32,32737,633.64,False,False,47.69,55.1,24.14,57.64,67.51,26.06,31.09
VAGOsolutions/SauerkrautLM-Gemma-7b (few-shot),2.36,4.42,8538,256,8190,1409.5,False,False,52.78,41.41,27.75,58.33,66.11,42.38,44.47
occiglot/occiglot-7b-eu5 (few-shot),2.38,4.71,7242,32,32768,2219.46,True,False,47.3,51.39,21.83,60.39,69.31,32.49,22.25
seedboxai/KafkaLM-7B-German-V0.1-DPO (few-shot),2.38,4.71,7242,32,4096,6069.58,False,False,52.57,48.92,20.74,62.31,68.88,31.38,29.83
seedboxai/KafkaLM-7B-German-V0.1 (few-shot),2.38,4.71,7242,32,32768,6065.17,True,False,52.51,48.35,20.36,62.19,68.82,31.36,29.98
Twitter/twhin-bert-large,2.39,999.0,562,250,512,9706.97,True,False,53.52,74.36,22.26,22.54,,,
RuterNorway/Llama-2-13b-chat-norwegian (few-shot),2.39,2.22,N/A,32,4094,3254.47,False,False,49.75,57.02,19.8,57.65,66.83,25.99,24.9
timpal0l/Mistral-7B-v0.1-flashback-v2 (few-shot),2.39,4.71,7242,32,32768,5053.68,True,False,54.79,50.66,20.17,54.38,65.53,27.04,17.47
meta-llama/Llama-2-13b-hf (few-shot),2.4,4.71,13016,32,4096,2898.43,True,False,46.38,52.08,22.39,62.65,69.5,28.79,21.5
DiscoResearch/Llama3-German-8B (few-shot),2.41,2.18,8030,128,8192,2382.55,True,False,58.32,54.34,25.7,35.35,62.61,38.63,33.51
seedboxai/KafkaLM-13B-German-V0.1-DPO (few-shot),2.41,4.71,13016,32,7937,788.62,False,False,49.73,52.45,20.72,60.07,68.97,27.71,21.44
ibm-granite/granite-8b-code-base-4k (few-shot),2.44,4.71,8055,49,4096,2312.61,True,False,49.75,59.07,14.71,56.14,67.78,16.39,10.68
clips/mfaq,2.45,999.0,278,250,128,5591.18,True,False,59.51,76.68,32.54,2.39,,,
ibm-granite/granite-3.0-2b-instruct (few-shot),2.48,4.71,2634,49,4097,10193.87,True,False,44.95,53.3,18.67,58.38,65.95,23.84,16.86
mistralai/Mistral-7B-Instruct-v0.1 (few-shot),2.48,4.71,7242,32,32766,633.64,False,False,47.26,47.19,22.32,54.61,67.75,26.79,20.33
Geotrend/distilbert-base-25lang-cased,2.55,999.0,109,85,512,26098.8,True,False,41.51,72.97,45.39,6.88,,,
meta-llama/Llama-3.2-3B-Instruct (few-shot),2.55,4.71,3213,128,131073,10423.76,False,False,50.52,55.52,9.87,47.02,66.4,33.58,28.97
ibm-granite/granite-3.0-3b-a800m-instruct (few-shot),2.57,4.71,3374,49,4096,10246.27,True,False,48.28,47.31,14.08,55.92,61.97,22.99,20.06
neuralmagic/Sparse-Llama-3.1-8B-2of4 (few-shot),2.57,4.71,8030,128,131072,2840.83,True,False,50.44,40.63,10.79,61.01,69.06,31.77,41.12
meta-llama/Llama-3.2-3B (few-shot),2.58,4.71,3213,128,131073,3713.14,True,False,54.65,49.85,3.17,58.09,67.96,29.56,16.15
google/gemma-2-2b-it (few-shot),2.58,4.71,2614,256,8193,5373.87,True,False,46.23,37.31,23.26,59.66,66.35,30.11,35.25
DiscoResearch/DiscoLM_German_7b_v1 (few-shot),2.58,2.19,7242,32,32768,1971.88,False,False,48.67,42.39,8.72,66.54,68.47,23.99,20.76
meta-llama/Llama-2-7b-chat-hf (few-shot),2.58,4.71,6738,32,4096,2643.05,False,False,46.52,50.09,15.23,56.07,67.62,20.12,13.98
meta-llama/Llama-2-7b-hf (few-shot),2.59,4.71,6738,32,3841,930.05,True,False,50.21,43.02,15.79,55.54,68.68,18.38,8.45
TrustLLMeu/baseline-7-8b_1t-tokens_llama (few-shot),2.6,2.98,7800,100,4096,6196.57,True,False,58.36,39.21,7.03,51.94,68.59,3.52,0.06
ibm-granite/granite-8b-code-instruct-4k (few-shot),2.61,4.71,8055,49,4096,5616.81,True,False,43.62,54.45,15.24,51.82,66.68,15.81,9.6
01-ai/Yi-1.5-6B (few-shot),2.61,2.11,6061,64,4097,2867.41,True,False,47.12,48.2,12.39,57.48,65.48,30.83,24.9
sentence-transformers/stsb-xlm-r-multilingual,2.62,999.0,278,250,512,15039.9,True,False,52.85,67.47,29.59,4.35,,,
microsoft/infoxlm-base,2.67,999.0,278,250,512,34735.22,True,False,59.16,77.84,3.66,10.66,,,
sentence-transformers/paraphrase-xlm-r-multilingual-v1,2.68,999.0,278,250,512,20154.46,True,False,57.94,69.45,21.81,3.03,,,
Qwen/Qwen1.5-4B-Chat (few-shot),2.72,2.28,3950,152,32768,4347.23,False,False,41.52,42.08,12.78,59.9,65.56,23.76,20.92
AI-Sweden-Models/roberta-large-1160k,2.73,999.0,355,50,512,14014.08,True,False,46.81,68.93,3.39,34.87,,,
ibm-granite/granite-7b-instruct (few-shot),2.77,4.71,6738,32,4096,3136.16,True,False,49.83,39.38,4.03,58.73,64.38,20.76,20.66
AI-Sweden-Models/roberta-large-1350k,2.8,999.0,355,50,512,5743.56,True,False,45.84,67.24,2.28,33.37,,,
ibm-granite/granite-3.0-2b-base (few-shot),2.81,4.71,2534,49,4097,10186.88,True,False,34.61,45.81,16.19,57.52,67.9,28.28,28.25
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,2.81,999.0,278,250,512,15099.94,True,False,60.29,65.28,16.83,0.6,,,
allenai/OLMo-1.7-7B-hf (few-shot),2.83,4.42,6888,50,4096,3371.43,True,False,49.42,39.41,6.02,54.92,66.75,20.77,10.47
google/gemma-7b-it (few-shot),2.92,4.71,8538,256,8192,1792.03,False,False,15.43,54.2,17.49,60.07,64.87,22.1,18.58
stabilityai/stablelm-2-1_6b (few-shot),2.93,4.71,1645,100,4096,7258.53,True,False,51.01,34.81,0.0,49.38,63.53,11.23,7.25
ibm-granite/granite-7b-base (few-shot),2.94,4.71,6738,32,2048,4405.37,True,False,46.0,37.68,0.83,53.15,64.14,18.12,9.92
dbmdz/bert-base-historic-multilingual-cased,2.95,999.0,111,32,512,20046.97,True,False,37.77,65.35,16.07,16.63,,,
google/gemma-2-2b (few-shot),2.97,4.71,2614,256,8193,5235.32,True,False,50.36,19.69,9.07,53.36,68.52,26.5,9.36
Qwen/Qwen1.5-4B (few-shot),2.99,2.33,3950,152,32768,3247.86,True,False,39.91,31.52,3.27,57.6,65.88,21.32,21.35
ibm-granite/granite-3b-code-instruct-2k (few-shot),3.01,4.71,3483,49,2048,9058.91,True,False,35.17,49.16,9.79,45.9,60.81,6.89,4.79
EuropeanParliament/EUBERT,3.02,999.0,94,66,512,20070.41,True,False,40.29,49.95,25.88,8.94,,,
dbmdz/bert-medium-historic-multilingual-cased,3.05,999.0,42,32,512,24291.12,True,False,39.91,61.09,17.16,12.02,,,
ibm-granite/granite-3b-code-base-2k (few-shot),3.05,4.71,3483,49,2048,2731.51,True,False,41.72,49.38,7.67,30.21,45.88,8.73,6.18
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,3.06,999.0,118,250,512,29200.68,True,False,54.99,60.54,0.52,7.76,,,
ibm-granite/granite-3.0-3b-a800m-base (few-shot),3.07,4.71,3374,49,4096,10504.04,True,False,31.86,40.61,5.36,47.72,66.77,22.17,22.61
meta-llama/Llama-3.2-1B-Instruct (few-shot),3.1,4.71,1236,128,131073,7435.78,False,False,38.26,42.51,5.48,41.82,60.81,16.06,6.64
01-ai/Yi-6B (few-shot),3.13,2.14,6061,64,4094,6435.34,True,False,52.66,0.0,7.33,57.13,66.09,30.33,22.89
utter-project/EuroLLM-1.7B-Instruct (few-shot),3.15,4.71,1657,128,4096,15008.58,True,False,43.18,28.49,2.92,48.47,64.64,2.6,1.46
ibm-granite/granite-3.0-1b-a400m-instruct (few-shot),3.16,4.71,1335,49,4096,7964.03,True,False,40.65,36.56,4.68,39.53,57.01,4.68,0.48
meta-llama/Llama-3.2-1B (few-shot),3.22,4.71,1236,128,131073,7577.45,True,False,47.65,24.79,2.39,33.76,61.07,3.94,0.9
sentence-transformers/quora-distilbert-multilingual,3.22,999.0,135,120,512,26458.45,True,False,49.66,64.12,0.58,0.36,,,
sentence-transformers/distilbert-multilingual-nli-stsb-quora-ranking,3.23,999.0,135,120,512,33753.4,True,False,49.69,63.78,0.74,0.2,,,
Rijgersberg/GEITje-7B (few-shot),3.25,2.61,7242,32,32766,5886.57,True,False,47.67,0.0,9.67,53.16,65.42,19.03,9.87
VAGOsolutions/SauerkrautLM-Gemma-2b (few-shot),3.29,4.42,2506,256,8192,3607.49,False,False,44.84,12.21,2.02,49.79,62.87,16.35,8.93
MaLA-LM/emma-500-llama2-7b (few-shot),3.3,2.95,6738,32,4096,6275.17,True,False,26.39,32.33,1.44,54.13,58.62,14.94,8.7
AI-Sweden-Models/gpt-sw3-20b-instruct (few-shot),3.31,3.34,20918,64,1793,1830.86,True,False,43.35,24.35,2.38,34.68,57.47,4.67,1.77
Qwen/Qwen1.5-1.8B-Chat (few-shot),3.31,2.83,1837,152,32768,8303.55,False,False,36.21,28.04,3.12,41.91,61.47,13.44,8.31
google/gemma-2b-it (few-shot),3.32,4.71,2506,256,8192,6470.59,False,False,28.54,36.62,1.15,51.61,63.02,12.27,6.57
NorwAI/NorwAI-Mistral-7B (few-shot),3.33,3.38,7537,68,4065,3034.67,True,False,43.88,19.29,5.63,36.47,54.94,5.89,4.11
LumiOpen/Viking-13B (few-shot),3.33,3.25,14030,131,4097,839.52,True,False,42.9,34.53,1.51,29.77,61.4,-1.84,-0.12
google/gemma-2b (few-shot),3.36,4.71,2506,256,8192,6087.12,True,False,44.96,16.95,0.77,40.68,66.8,12.11,7.32
RuterNorway/Llama-2-7b-chat-norwegian (few-shot),3.38,3.33,N/A,32,4096,10889.7,False,False,33.61,27.22,0.45,45.5,60.5,-0.1,-1.0
AI-Sweden-Models/gpt-sw3-20b (few-shot),3.4,3.54,20918,64,2046,1875.24,True,False,34.17,36.17,2.21,30.89,51.97,3.68,0.64
HuggingFaceTB/SmolLM2-1.7B-Instruct (few-shot),3.4,2.97,1711,49,8192,15970.88,True,False,27.03,32.54,8.95,39.18,59.91,12.3,6.28
sentence-transformers/distiluse-base-multilingual-cased,3.41,999.0,135,120,512,19205.51,True,False,48.71,40.2,5.53,1.12,,,
sentence-transformers/distiluse-base-multilingual-cased-v2,3.41,999.0,135,120,512,33246.61,True,False,49.38,41.82,4.77,0.92,,,
NorwAI/NorwAI-Llama2-7B (few-shot),3.42,3.02,7033,68,4096,4437.75,True,False,33.48,25.69,3.73,35.5,63.85,2.96,1.88
allenai/OLMo-7B (few-shot),3.43,4.42,6888,50,2049,5402.86,True,False,49.77,30.85,2.67,12.7,42.64,1.94,1.24
"seedboxai/KafkaLM-70B-German-V0.1 (few-shot, val)",3.46,4.71,68977,32,4094,293.8,True,False,-5.01,59.23,3.19,56.6,62.42,18.4,1.52
"DiscoResearch/DiscoLM-70b (few-shot, val)",3.54,3.42,68977,32,8190,291.23,False,False,27.56,62.16,0.59,4.44,52.77,4.04,7.33
Qwen/Qwen1.5-1.8B (few-shot),3.56,2.83,1837,152,32768,5665.51,True,False,38.3,9.23,0.39,41.61,61.74,13.65,8.86
sentence-transformers/distiluse-base-multilingual-cased-v1,3.57,999.0,135,120,512,34041.87,True,False,51.7,28.29,2.12,0.69,,,
HuggingFaceTB/SmolLM2-1.7B (few-shot),3.62,2.73,1711,49,8192,16248.88,True,False,19.69,28.67,5.07,38.33,64.25,15.15,6.23
ibm-granite/granite-3.0-1b-a400m-base (few-shot),3.63,4.71,1385,49,4096,7808.38,True,False,34.66,19.94,0.7,31.39,61.26,-0.48,0.28
dbmdz/bert-mini-historic-multilingual-cased,3.74,999.0,12,32,512,47121.63,True,False,34.21,38.71,1.59,0.0,,,
3ebdola/Dialectal-Arabic-XLM-R-Base,3.78,999.0,278,250,512,12782.54,True,False,32.66,30.18,2.1,4.04,,,
dbmdz/bert-tiny-historic-multilingual-cased,3.8,999.0,5,32,512,78027.26,True,False,33.61,33.18,1.83,0.0,,,
allenai/OLMo-7B-Twin-2T (few-shot),3.91,4.42,6888,50,2049,5484.4,True,False,28.07,14.06,2.31,17.95,43.42,1.66,1.5
Qwen/Qwen1.5-0.5B (few-shot),3.96,3.16,620,152,32768,11371.34,True,False,10.64,27.34,0.33,27.38,59.71,6.34,2.94
Qwen/Qwen1.5-0.5B-Chat (few-shot),3.97,3.34,620,152,32768,11740.04,False,False,9.31,24.67,1.11,29.1,56.42,2.75,3.41
HuggingFaceTB/SmolLM2-360M (few-shot),3.99,3.44,362,49,8192,22023.39,True,False,19.64,19.94,0.0,20.5,57.06,0.32,-0.65
state-spaces/mamba-2.8b-hf (few-shot),4.0,4.71,2768,50,32769,2721.51,True,False,18.66,21.96,0.16,18.42,56.47,1.65,0.02
HuggingFaceTB/SmolLM2-360M-Instruct (few-shot),4.1,3.91,362,49,8192,21776.98,True,False,12.59,18.77,1.64,21.58,46.31,0.84,0.01
allenai/OLMo-1B (few-shot),4.13,4.42,1177,50,2049,8536.09,True,False,21.03,21.46,0.13,6.02,39.77,-0.08,-0.63
fresh-xlm-roberta-base,4.25,999.0,278,250,512,2214.08,True,False,23.44,8.03,-0.17,0.0,,,
fresh-electra-small,4.36,999.0,14,31,512,7840.02,True,False,13.29,9.53,-0.15,0.0,,,
HuggingFaceTB/SmolLM2-135M-Instruct (few-shot),4.46,3.82,135,49,8192,25602.11,True,False,2.51,15.54,0.36,5.69,49.41,-1.46,-0.18
HuggingFaceTB/SmolLM2-135M (few-shot),4.51,3.56,135,49,8192,26346.08,True,False,2.74,16.89,-0.34,2.91,54.79,-0.32,0.18
NorwAI/NorwAI-Mistral-7B-pretrain (few-shot),4.62,4.36,7537,68,4065,3023.95,True,False,4.45,5.8,-0.48,4.02,35.92,0.77,-0.34
RJuro/kanelsnegl-v0.1 (few-shot),4.65,3.35,7242,32,510,5847.39,True,False,0.0,0.0,0.0,14.17,59.26,1.16,0.31
ai-forever/mGPT (few-shot),4.8,4.71,N/A,100,2046,11734.33,True,False,0.19,0.0,-0.12,1.29,29.43,-0.69,0.15
ssmits/Falcon2-5.5B-multilingual (few-shot),4.81,4.71,5465,65,8192,7691.9,True,False,0.0,0.0,0.0,0.02,37.66,0.87,1.95
01-ai/Yi-6B-Chat (few-shot),999.0,2.14,6061,64,4096,2278.2,False,False,50.38,,12.35,56.58,67.09,30.38,21.32
