model,generative_type,rank,parameters,vocabulary_size,context,commercial,merge,swerec,suc3,scala_sv,scandiqa_sv,swedn,mmlu_sv,hellaswag_sv,swerec_version,suc3_version,scala_sv_version,scandiqa_sv_version,swedn_version,mmlu_sv_version,hellaswag_sv_version
"<a href='https://docs.anthropic.com/en/docs/about-claude/models/all-models'>claude-3-5-sonnet-20241022 (zero-shot, val)</a>",📝,1.42@@1.42,,,200000.0,✓,✗,77.70 ± 2.39 / 77.22 ± 2.00@@77.70031549261454,70.22 ± 2.34 / 58.75 ± 1.43@@70.21587675818077,74.34 ± 2.79 / 87.04 ± 1.39@@74.33691610591404,60.05 ± 0.93 / 49.32 ± 1.33@@60.05228919384334,65.36 ± 0.14 / 15.31 ± 0.16@@65.36374145420268,72.57 ± 1.90 / 79.26 ± 1.44@@72.5670167169417,69.19 ± 1.63 / 76.72 ± 1.27@@69.19457616340112,14.0.3@@140003,14.0.3@@140003,14.0.3@@140003,14.0.3@@140003,14.0.3@@140003,14.4.0@@140400,14.4.0@@140400
"<a href='https://platform.openai.com/docs/models/gpt-4.1'>gpt-4.1-2025-04-14 (zero-shot, val)</a>",📝,1.43@@1.43,,,1047576.0,✓,✗,76.94 ± 3.01 / 75.09 ± 2.85@@76.94218090467312,65.07 ± 2.05 / 36.41 ± 1.37@@65.06548570346509,66.06 ± 2.18 / 80.99 ± 1.23@@66.06122127623341,64.02 ± 1.14 / 49.39 ± 1.35@@64.02276836261733,65.64 ± 0.14 / 15.26 ± 0.21@@65.6389910262078,74.79 ± 2.58 / 81.09 ± 1.94@@74.7928293144123,72.47 ± 1.86 / 79.22 ± 1.42@@72.47470197712033,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601
<a href='https://huggingface.co/Qwen/Qwen2.5-72B-Instruct'>Qwen/Qwen2.5-72B-Instruct (few-shot)</a>,📝,1.45@@1.45,72706203648.0,152064.0,32768.0,✓,✗,79.89 ± 0.97 / 80.23 ± 0.85@@79.89367811810679,62.12 ± 2.14 / 39.19 ± 2.64@@62.123626022245816,61.71 ± 1.08 / 80.82 ± 0.54@@61.70943546167471,66.56 ± 0.46 / 54.99 ± 0.94@@66.55547349114569,65.38 ± 0.08 / 16.18 ± 0.12@@65.37770309048938,70.61 ± 0.65 / 77.88 ± 0.48@@70.61031670987812,76.53 ± 0.83 / 82.29 ± 0.62@@76.53066938029144,14.0.4@@140004,14.0.4@@140004,14.0.4@@140004,14.0.4@@140004,14.0.4@@140004,14.0.4@@140004,14.0.4@@140004
"<a href='https://docs.x.ai/docs/models'>xai/grok-3-beta (zero-shot, val)</a>",📝,1.46@@1.46,,,131072.0,✓,✗,78.13 ± 3.21 / 72.33 ± 3.35@@78.12516553981844,56.64 ± 2.93 / 33.49 ± 1.98@@56.64342516321843,71.91 ± 3.24 / 85.58 ± 1.59@@71.90550182699215,61.11 ± 0.75 / 46.49 ± 0.91@@61.113952597036885,65.32 ± 0.14 / 13.29 ± 0.18@@65.32171537633985,74.17 ± 2.26 / 80.51 ± 1.72@@74.16949242546183,75.28 ± 1.33 / 81.02 ± 1.05@@75.2821939254248,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601
<a href='https://huggingface.co/meta-llama/Meta-Llama-3-70B'>meta-llama/Meta-Llama-3-70B (few-shot)</a>,🧠,1.48@@1.48,70553706496.0,128256.0,8192.0,✓,✗,81.52 ± 0.71 / 79.89 ± 1.55@@81.52007884604083,75.15 ± 2.00 / 59.47 ± 4.87@@75.14683816033596,64.20 ± 1.38 / 81.88 ± 0.69@@64.20256814238014,68.74 ± 1.30 / 62.31 ± 2.66@@68.74063602307541,66.10 ± 0.39 / 20.28 ± 0.67@@66.09545105340658,62.12 ± 0.63 / 71.49 ± 0.48@@62.11996542953264,55.45 ± 3.97 / 65.43 ± 3.40@@55.445792082310284,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300
<a href='https://huggingface.co/meta-llama/Llama-3.1-70B'>meta-llama/Llama-3.1-70B (few-shot)</a>,🧠,1.50@@1.50,70553706496.0,128256.0,131072.0,✓,✗,80.80 ± 0.75 / 80.09 ± 0.71@@80.80330097490729,75.01 ± 1.91 / 62.05 ± 4.29@@75.00824949460613,64.06 ± 1.47 / 81.52 ± 0.98@@64.06408914071065,68.95 ± 0.95 / 62.67 ± 1.42@@68.95037986176139,66.02 ± 0.48 / 19.96 ± 0.70@@66.02373886766145,61.66 ± 0.62 / 71.10 ± 0.46@@61.65658322514018,54.82 ± 2.18 / 64.57 ± 1.89@@54.824384956509,15.9.1@@150901,15.9.1@@150901,15.9.1@@150901,15.9.1@@150901,15.9.1@@150901,15.9.1@@150901,15.9.1@@150901
<a href='https://huggingface.co/google/gemma-3-27b-it'>google/gemma-3-27b-it (few-shot)</a>,📝,1.51@@1.51,27432406640.0,262144.0,,✓,✗,78.73 ± 0.99 / 78.65 ± 0.97@@78.73026696645769,62.38 ± 2.44 / 52.25 ± 2.81@@62.38345264378607,67.64 ± 1.18 / 83.75 ± 0.62@@67.64314741191244,64.34 ± 0.56 / 53.75 ± 0.91@@64.34402805416167,65.51 ± 0.07 / 15.88 ± 0.13@@65.50515207345597,64.46 ± 1.00 / 73.26 ± 0.78@@64.45616436470678,72.69 ± 0.80 / 79.35 ± 0.61@@72.68788844125915,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500
<a href='https://huggingface.co/google/gemma-3-27b-pt'>google/gemma-3-27b-pt (few-shot)</a>,🧠,1.52@@1.52,27432406640.0,262144.0,,✓,✗,80.14 ± 1.59 / 79.53 ± 1.61@@80.13848126714326,65.36 ± 2.92 / 51.45 ± 4.74@@65.35687999942074,64.49 ± 4.26 / 81.41 ± 3.01@@64.4915774270711,69.17 ± 0.54 / 62.27 ± 1.04@@69.17496066346557,66.02 ± 0.15 / 19.63 ± 0.41@@66.02211565419566,66.83 ± 1.06 / 75.10 ± 0.81@@66.82880511907484,55.03 ± 3.90 / 64.64 ± 3.41@@55.03200736038166,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601
<a href='https://huggingface.co/meta-llama/Meta-Llama-3-70B-Instruct'>meta-llama/Meta-Llama-3-70B-Instruct (few-shot)</a>,📝,1.53@@1.53,70553706496.0,128256.0,8192.0,✓,✗,81.21 ± 0.60 / 80.20 ± 0.88@@81.21057803766037,65.78 ± 2.25 / 46.12 ± 2.59@@65.78222851682702,58.76 ± 1.27 / 78.91 ± 0.75@@58.75540023879145,64.68 ± 0.78 / 54.31 ± 1.36@@64.68374203869521,66.71 ± 0.07 / 19.09 ± 0.17@@66.71291911537992,62.78 ± 0.73 / 72.01 ± 0.53@@62.775754921401884,65.88 ± 1.33 / 74.13 ± 1.01@@65.88325737229582,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300
<a href='https://huggingface.co/mistralai/Mistral-Small-3.1-24B-Base-2503'>mistralai/Mistral-Small-3.1-24B-Base-2503 (few-shot)</a>,🧠,1.53@@1.53,24011361280.0,131072.0,,✓,✗,80.41 ± 0.66 / 79.75 ± 1.25@@80.41196426906951,72.37 ± 2.06 / 60.91 ± 3.84@@72.37269623185469,58.01 ± 2.49 / 77.19 ± 1.86@@58.007935997174066,67.68 ± 0.64 / 60.04 ± 1.86@@67.68330815908318,65.78 ± 0.51 / 19.57 ± 0.66@@65.7803084461193,64.28 ± 0.67 / 73.16 ± 0.52@@64.27666024734538,55.72 ± 1.81 / 65.81 ± 1.58@@55.72495491217968,15.9.1.dev0@@150901,15.9.1.dev0@@150901,15.9.1.dev0@@150901,15.9.1.dev0@@150901,15.9.1.dev0@@150901,15.9.1.dev0@@150901,15.9.1.dev0@@150901
<a href='https://huggingface.co/Qwen/Qwen3-32B'>Qwen/Qwen3-32B (few-shot)</a>,🤔,1.54@@1.54,32762123264.0,151936.0,40960.0,✓,✗,77.97 ± 0.99 / 76.15 ± 1.07@@77.96574842474718,64.92 ± 1.57 / 56.79 ± 2.05@@64.92404852868631,59.79 ± 1.56 / 79.45 ± 0.90@@59.79334816192144,58.26 ± 12.25 / 51.13 ± 11.15@@58.255239998809884,64.96 ± 0.07 / 13.99 ± 0.11@@64.96464719704818,78.44 ± 1.04 / 83.81 ± 0.78@@78.44137641979394,66.43 ± 1.20 / 74.62 ± 0.93@@66.43362031223982,15.8.2@@150802,15.8.2@@150802,15.8.2@@150802,15.8.2@@150802,15.8.2@@150802,15.8.2@@150802,15.8.2@@150802
<a href='https://huggingface.co/Qwen/Qwen3-30B-A3B'>Qwen/Qwen3-30B-A3B (few-shot)</a>,🤔,1.54@@1.54,30532122624.0,151936.0,40960.0,✓,✗,76.75 ± 1.02 / 74.60 ± 1.10@@76.74730550584205,72.91 ± 1.65 / 62.89 ± 2.47@@72.91223440432053,53.61 ± 1.46 / 75.23 ± 0.86@@53.61414152017001,65.08 ± 0.47 / 57.30 ± 0.52@@65.0846723643769,65.22 ± 0.07 / 14.48 ± 0.11@@65.22156302788062,76.85 ± 0.90 / 82.64 ± 0.67@@76.84912201838401,59.49 ± 1.03 / 69.40 ± 0.82@@59.48951688590709,15.8.2@@150802,15.8.2@@150802,15.8.2@@150802,15.8.2@@150802,15.8.2@@150802,15.8.2@@150802,15.8.2@@150802
<a href='https://huggingface.co/deepcogito/cogito-v1-preview-qwen-14B'>deepcogito/cogito-v1-preview-qwen-14B (few-shot)</a>,📝,1.56@@1.56,14765947904.0,151665.0,131072.0,✓,✗,78.76 ± 0.48 / 77.19 ± 0.59@@78.75588726274063,64.90 ± 2.05 / 48.41 ± 3.17@@64.9041217907368,53.07 ± 1.80 / 74.92 ± 1.34@@53.07269578299928,65.36 ± 0.69 / 56.95 ± 0.70@@65.35929590114458,65.72 ± 0.09 / 16.94 ± 0.25@@65.7151052482368,66.37 ± 1.04 / 74.79 ± 0.78@@66.37344139195991,71.50 ± 1.18 / 78.48 ± 0.87@@71.50005939464296,15.8.1.dev0@@150801,15.8.1.dev0@@150801,15.8.1.dev0@@150801,15.8.1.dev0@@150801,15.8.1.dev0@@150801,15.8.1.dev0@@150801,15.8.1.dev0@@150801
<a href='https://huggingface.co/NovaSky-AI/Sky-T1-32B-Preview'>NovaSky-AI/Sky-T1-32B-Preview (few-shot)</a>,📝,1.56@@1.56,32763876352.0,152064.0,32768.0,✓,✗,77.97 ± 0.96 / 77.44 ± 1.08@@77.9698366220605,66.18 ± 1.40 / 42.07 ± 3.61@@66.17620416106492,52.98 ± 1.80 / 73.24 ± 1.45@@52.97961101115744,64.73 ± 0.60 / 51.99 ± 0.94@@64.72894746450596,65.55 ± 0.06 / 16.19 ± 0.10@@65.54655445885146,65.35 ± 1.04 / 73.94 ± 0.79@@65.354010897134,72.27 ± 1.10 / 78.78 ± 0.82@@72.26507193688005,15.8.2.dev0@@150802,15.8.2.dev0@@150802,15.8.2.dev0@@150802,15.8.2.dev0@@150802,15.8.2.dev0@@150802,15.8.2.dev0@@150802,15.9.0@@150900
<a href='https://huggingface.co/Qwen/QwQ-32B'>Qwen/QwQ-32B (few-shot)</a>,🤔,1.58@@1.58,32763876352.0,152064.0,40960.0,✓,✗,76.95 ± 0.72 / 73.59 ± 1.56@@76.94655017267552,73.18 ± 1.35 / 63.82 ± 2.41@@73.18368479362506,43.71 ± 3.01 / 65.20 ± 2.64@@43.70911389706759,60.16 ± 12.79 / 52.71 ± 11.50@@60.15703003683389,64.31 ± 0.10 / 11.70 ± 0.23@@64.3075568259519,79.57 ± 0.89 / 84.67 ± 0.67@@79.57224060023769,66.14 ± 1.87 / 74.38 ± 1.43@@66.14034981990635,15.8.1.dev0@@150801,15.8.1.dev0@@150801,15.8.1.dev0@@150801,15.8.1.dev0@@150801,15.8.1.dev0@@150801,15.8.1.dev0@@150801,15.8.1.dev0@@150801
"<a href='https://ollama.com/library/gemma3:27b-it-q4_K_M'>ollama_chat/gemma3:27b-it-q4_K_M (few-shot, val)</a>",📝,1.58@@1.58,27400000000.0,262144.0,128000.0,✓,✗,77.29 ± 2.25 / 78.34 ± 1.52@@77.28669112063396,67.07 ± 1.61 / 61.00 ± 2.45@@67.06679674123419,66.79 ± 3.14 / 82.90 ± 1.81@@66.79050970969274,58.81 ± 0.81 / 48.80 ± 1.73@@58.81439349092765,65.64 ± 0.16 / 16.77 ± 0.33@@65.64413912128657,59.99 ± 2.70 / 69.92 ± 2.03@@59.98809737619679,66.34 ± 2.04 / 74.38 ± 1.56@@66.34355352647619,15.3.0.dev0@@150300,15.3.0.dev0@@150300,15.3.0.dev0@@150300,15.3.0.dev0@@150300,15.3.0.dev0@@150300,15.3.0.dev0@@150300,15.3.0.dev0@@150300
"<a href='https://docs.x.ai/docs/models'>xai/grok-3-mini-beta@high (zero-shot, val)</a>",🤔,1.60@@1.60,,,131072.0,✓,✗,73.99 ± 3.35 / 68.66 ± 2.73@@73.99056823382473,58.27 ± 1.92 / 46.70 ± 1.48@@58.269730743854296,65.36 ± 2.32 / 82.48 ± 1.23@@65.35903770670049,61.31 ± 0.65 / 50.31 ± 0.82@@61.310908678423935,64.73 ± 0.13 / 12.39 ± 0.17@@64.72871333360672,80.87 ± 2.06 / 85.47 ± 1.61@@80.8679839954263,60.15 ± 1.26 / 69.77 ± 0.96@@60.150304299465894,15.7.2@@150702,15.7.2@@150702,15.7.2@@150702,15.7.2@@150702,15.7.2.dev0@@150702,15.7.2.dev0@@150702,15.7.2.dev0@@150702
"<a href='https://docs.x.ai/docs/models'>xai/grok-2-1212 (zero-shot, val)</a>",📝,1.60@@1.60,,,131072.0,✓,✗,77.06 ± 2.51 / 77.16 ± 2.09@@77.05847996910028,62.58 ± 2.18 / 41.69 ± 1.58@@62.57513998017309,54.32 ± 3.48 / 74.88 ± 1.94@@54.315841983061794,62.29 ± 0.80 / 51.72 ± 0.91@@62.289359084017235,65.17 ± 0.11 / 13.48 ± 0.20@@65.16902304952964,67.49 ± 2.47 / 75.12 ± 1.88@@67.4865602125829,70.27 ± 2.14 / 77.19 ± 1.59@@70.26886967885547,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500
"<a href='https://platform.openai.com/docs/models/gpt-4-turbo'>gpt-4-1106-preview (zero-shot, val)</a>",📝,1.62@@1.62,,100256.0,8191.0,✓,✗,73.54 ± 3.03 / 68.68 ± 2.31@@73.53797154251119,51.31 ± 4.64 / 43.84 ± 3.44@@51.31220743367846,66.39 ± 2.24 / 82.10 ± 1.23@@66.38630238840244,63.21 ± 1.40 / 52.22 ± 1.51@@63.20800469563143,65.32 ± 0.13 / 15.67 ± 0.18@@65.32372789923102,67.53 ± 1.93 / 75.62 ± 1.43@@67.5299880125258,71.21 ± 1.97 / 78.12 ± 1.49@@71.21409461412253,14.0.3@@140003,14.0.3@@140003,14.0.3@@140003,14.0.3@@140003,14.0.3@@140003,14.4.0@@140400,14.4.0@@140400
<a href='https://huggingface.co/google/gemma-3-12b-it'>google/gemma-3-12b-it (few-shot)</a>,📝,1.62@@1.62,12187325040.0,262144.0,,✓,✗,79.38 ± 0.87 / 78.27 ± 1.03@@79.37787259485421,61.45 ± 2.76 / 43.05 ± 2.57@@61.45011113535425,59.51 ± 1.68 / 79.43 ± 0.92@@59.514452812334206,63.88 ± 0.60 / 54.82 ± 0.94@@63.87549611060945,65.34 ± 0.10 / 16.01 ± 0.08@@65.34110774548026,56.88 ± 1.09 / 67.49 ± 0.83@@56.878250379756714,69.27 ± 1.25 / 76.84 ± 0.95@@69.26792099693573,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500
"<a href='https://platform.openai.com/docs/models/o3-mini'>o3-mini-2025-01-31 (zero-shot, val)</a>",🤔,1.63@@1.63,,,200000.0,✓,✗,74.64 ± 3.08 / 71.60 ± 2.83@@74.64282229927986,65.86 ± 1.95 / 55.00 ± 1.47@@65.8629284878128,61.49 ± 3.27 / 80.65 ± 1.63@@61.4940925211114,61.19 ± 0.80 / 51.05 ± 1.12@@61.193793739435215,64.51 ± 0.14 / 12.33 ± 0.19@@64.51036924961954,75.51 ± 1.76 / 81.72 ± 1.30@@75.506249136454,50.70 ± 1.63 / 62.89 ± 1.27@@50.704677999629475,15.7.2.dev0@@150702,15.7.2.dev0@@150702,15.7.2.dev0@@150702,15.7.2.dev0@@150702,15.7.2.dev0@@150702,15.7.2.dev0@@150702,15.7.2.dev0@@150702
<a href='https://huggingface.co/Qwen/Qwen3-14B'>Qwen/Qwen3-14B (few-shot)</a>,🤔,1.63@@1.63,14768307200.0,151936.0,40960.0,✓,✗,76.33 ± 0.99 / 73.54 ± 1.08@@76.32956760010508,67.03 ± 1.19 / 54.95 ± 2.02@@67.0344684523065,56.00 ± 1.30 / 76.03 ± 0.78@@56.004987076925715,58.25 ± 12.23 / 50.33 ± 10.97@@58.2473427792133,65.12 ± 0.06 / 14.74 ± 0.11@@65.11773083737353,75.48 ± 0.80 / 81.60 ± 0.61@@75.47720271572047,59.40 ± 1.03 / 69.29 ± 0.81@@59.4014725941537,15.8.1@@150801,15.8.1@@150801,15.8.1@@150801,15.8.1@@150801,15.8.1@@150801,15.8.1@@150801,15.8.1@@150801
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-1.5-pro-002'>gemini/gemini-1.5-pro-002 (zero-shot, val)</a>",📝,1.65@@1.65,,256128.0,2097152.0,✓,✗,76.25 ± 3.00 / 73.16 ± 2.28@@76.25317009953082,55.89 ± 1.80 / 42.75 ± 1.84@@55.890399008512425,54.73 ± 2.29 / 73.60 ± 1.20@@54.731648787779804,61.15 ± 1.04 / 45.75 ± 1.49@@61.14586363689771,65.36 ± 0.16 / 15.71 ± 0.25@@65.35813164198771,73.27 ± 2.02 / 79.84 ± 1.49@@73.2681086645363,65.06 ± 2.37 / 73.05 ± 1.79@@65.0640480008599,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500
